episode,reward,vehicle_location,waypoint,duration,timesteps,collisions,lane_invasions,avg_speed,waypoint_similarity,total_distance,max_speed,hard_brakes
0,-16.152555832955972,"Location(x=-113.123322, y=-60.207703, z=0.001892)","Location(x=-112.187912, y=-60.251099, z=0.000000)",3.1713836193084717,94,1,1,10.061882766909777,0.12042475033919735,8.708276223711437,18.375488463071665,0
1,-16.471201670798482,"Location(x=-113.081299, y=-60.125961, z=0.001503)","Location(x=-112.177902, y=-60.163658, z=0.000000)",3.4291841983795166,102,1,1,9.412368879701027,0.11958568918972462,8.83826696779579,18.00100586683814,0
2,-16.17047879483482,"Location(x=-109.675941, y=-48.688625, z=0.001753)","Location(x=-110.669327, y=-48.623077, z=0.000000)",3.051326274871826,91,1,3,11.362128622313378,0.1104197864062453,9.525217555928975,18.149964223929036,0
3,1.0191748701396364,"Location(x=-109.169678, y=-36.429623, z=0.001712)","Location(x=-110.134010, y=-36.460201, z=0.000000)",13.767517328262329,163,1,1,14.429550781421513,0.04686504501035553,21.701125614577904,26.224867457542413,0
4,-6.592109924413608,"Location(x=-109.225777, y=-41.993076, z=0.001833)","Location(x=-110.224831, y=-41.975174, z=0.000000)",10.954838514328003,133,1,2,13.216318193021856,0.06320833699613265,16.198642326751724,23.44399662388116,0
5,-15.314744078257453,"Location(x=-113.086365, y=-60.097763, z=0.001705)","Location(x=-112.174637, y=-60.135502, z=0.000000)",7.3772759437561035,90,1,1,10.719057346206435,0.11777682166016254,8.872831260698149,21.315188435583284,0
6,-14.050014359623706,"Location(x=-112.897705, y=-58.575047, z=0.001840)","Location(x=-111.986046, y=-58.661110, z=0.000000)",8.812426328659058,107,1,1,10.526491204527197,0.10019928466935148,10.381204391065694,18.338506135091887,0
7,-8.907939481745084,"Location(x=-109.320244, y=-43.660851, z=0.001797)","Location(x=-110.301453, y=-43.644386, z=0.000000)",10.813619613647461,130,1,1,12.123675811962965,0.07076065712975696,14.53788208248443,19.39440805641026,0
8,-18.94389889789219,"Location(x=-113.186317, y=-61.312119, z=0.001654)","Location(x=-112.306290, y=-61.382034, z=0.000000)",8.294096231460571,100,1,1,8.326943967327217,0.1378592947510439,7.665307203744305,16.758118746615043,0
9,-1.8881890427120478,"Location(x=-109.119720, y=-37.189816, z=0.001699)","Location(x=-110.133499, y=-37.214264, z=0.000000)",13.022741317749023,158,1,2,14.378234374438735,0.04850543532098071,20.96100216882769,24.648874533615192,0
10,-9.344419723496053,"Location(x=-109.104996, y=-29.290094, z=0.001852)","Location(x=-110.182823, y=-29.330040, z=0.000000)",13.769054651260376,167,1,2,18.677536755678307,0.03513645034088973,28.819819134194404,27.450032886359313,0
11,-16.60679150826973,"Location(x=-113.011375, y=-59.749306, z=0.001856)","Location(x=-112.142570, y=-59.863834, z=0.000000)",9.331292152404785,113,1,1,8.863986754554984,0.11350074963371602,9.21868076776991,18.793810359070925,0
12,-20.2100313645526,"Location(x=-113.302383, y=-62.917938, z=0.001672)","Location(x=-112.438354, y=-62.930931, z=0.000000)",6.241856098175049,75,1,1,8.83934010320257,0.17688018638596426,6.094552078167908,15.943931837628245,0
13,-18.197830091521,"Location(x=-113.226944, y=-61.758465, z=0.001819)","Location(x=-112.348396, y=-61.841206, z=0.000000)",6.865154504776001,82,1,1,9.598849625784922,0.14663536335204433,7.236029714375036,18.131631941689527,0
14,-0.8557858840710857,"Location(x=-111.495377, y=-13.939002, z=0.001760)","Location(x=-110.296463, y=-13.965474, z=0.000000)",21.1482834815979,257,1,2,18.625567000978556,0.022879491572471836,44.07716777222231,26.936073018208774,0
15,-11.3622556241206,"Location(x=-109.341644, y=-44.334766, z=0.001646)","Location(x=-110.338387, y=-44.307590, z=0.000000)",9.93125057220459,121,1,2,12.441710916918936,0.07392704774600323,13.862050632509636,25.48859917353292,0
16,0.031096341420404627,"Location(x=-109.152992, y=-23.538012, z=0.001859)","Location(x=-110.225365, y=-23.577932, z=0.000000)",18.972914457321167,231,1,4,16.18810392874341,0.029242090157874264,34.54201432876289,27.56253445963515,0
17,-10.495796375138548,"Location(x=-109.421783, y=-45.418995, z=0.001791)","Location(x=-110.405739, y=-45.376869, z=0.000000)",9.5311439037323,115,1,1,12.068428072789652,0.08082370817841249,12.786449379753321,19.42209958633556,0
18,-19.758382058836222,"Location(x=-112.665329, y=-56.464291, z=0.001710)","Location(x=-111.680603, y=-56.599361, z=0.000000)",10.018267631530762,122,1,5,11.127770595801039,0.08266330424320528,12.50401701303781,21.95327526832025,0
19,-15.7800528224275,"Location(x=-113.161171, y=-60.997581, z=0.001882)","Location(x=-112.274612, y=-61.058990, z=0.000000)",6.54959511756897,79,1,1,10.975100689373512,0.13196644300568422,7.978654981590807,18.69708199586692,0
20,-2.4640026213402955,"Location(x=-109.264900, y=-21.919281, z=0.001747)","Location(x=-110.237343, y=-21.958612, z=0.000000)",17.357068300247192,211,1,1,18.623457756927632,0.02790514701126346,36.178628461726476,31.004313152132166,0
21,-7.844974741799145,"Location(x=-108.979370, y=-28.835756, z=0.001771)","Location(x=-110.186172, y=-28.876469, z=0.000000)",14.50933575630188,176,1,2,18.022125126879402,0.034469837210136765,29.303236053790897,33.87038030036034,0
22,-13.394647927803367,"Location(x=-112.834099, y=-57.515903, z=0.001844)","Location(x=-111.830208, y=-57.597481, z=0.000000)",9.747808933258057,118,1,1,10.498969838200406,0.09063229057116902,11.438486179802567,18.429985729308907,0
23,-11.99069961614631,"Location(x=-112.132225, y=-51.765427, z=0.001786)","Location(x=-111.033684, y=-51.961342, z=0.000000)",11.363258361816406,138,1,5,13.532955521470331,0.05943279755000409,17.214474555512425,23.906073347583895,0
24,-18.513162697058796,"Location(x=-113.142853, y=-61.801834, z=0.001660)","Location(x=-112.351517, y=-61.876732, z=0.000000)",7.079249382019043,86,1,1,9.0851015899234,0.14774978211803536,7.176925300853327,18.544656532907137,0
25,-21.52915750248186,"Location(x=-113.236290, y=-63.228333, z=0.001629)","Location(x=-112.462692, y=-63.239567, z=0.000000)",6.778998851776123,82,1,1,7.6820308364931895,0.18692925145558928,5.780933917616494,16.62949702044441,0
26,-17.62744922202192,"Location(x=-113.239128, y=-61.713379, z=0.001851)","Location(x=-112.344444, y=-61.796513, z=0.000000)",6.442786931991577,78,1,1,10.146636601863243,0.1454187695240904,7.2782219054643065,18.162470114714523,0
27,-6.864683509582633,"Location(x=-109.053970, y=-37.995647, z=0.001833)","Location(x=-110.136391, y=-38.011738, z=0.000000)",12.828842878341675,154,1,4,14.205962748459092,0.05044706511729227,20.173482527723536,26.43768497007946,0
28,2.463390362913401,"Location(x=-109.178085, y=-22.151037, z=0.001743)","Location(x=-110.235626, y=-22.190874, z=0.000000)",19.00204563140869,230,1,2,16.92619519959731,0.028088338013774233,35.95513568323804,27.528138685132443,0
29,-12.219100566942371,"Location(x=-112.814919, y=-58.362167, z=0.001729)","Location(x=-111.953972, y=-58.435104, z=0.000000)",8.071656227111816,98,1,1,11.75119450905751,0.09819047602029923,10.593907591857715,22.783356674842455,0
30,-4.471241685535553,"Location(x=-111.251152, y=-38.531982, z=0.001834)","Location(x=-110.140579, y=-38.528305, z=0.000000)",13.246118545532227,161,1,2,13.115804424511465,0.052411726752712696,19.48273739486467,22.7464129699487,0
31,-12.841187784252082,"Location(x=-112.524635, y=-54.645531, z=0.001821)","Location(x=-111.416855, y=-54.807102, z=0.000000)",11.900208473205566,144,1,2,10.77222565190232,0.07189237292000349,14.305165966332424,19.400068861885774,0
32,-7.387346131497392,"Location(x=-109.284615, y=-42.481796, z=0.001864)","Location(x=-110.244583, y=-42.457874, z=0.000000)",11.21257758140564,136,1,1,12.525150677230592,0.06544493317679367,15.718171605083626,19.834951367548232,0
33,-7.244721172111314,"Location(x=-112.168114, y=-52.639053, z=0.001725)","Location(x=-111.141792, y=-52.812428, z=0.000000)",11.542468309402466,140,1,2,12.662884918909453,0.0625981661504895,16.344576816729386,25.995499576923127,0
34,-16.350424115606423,"Location(x=-113.093575, y=-60.364487, z=0.001687)","Location(x=-112.205544, y=-60.407547, z=0.000000)",7.832780361175537,95,1,1,9.844713502683579,0.12260218084463408,8.612043617817108,16.828043740442677,0
35,-17.14932597185361,"Location(x=-113.069649, y=-60.151566, z=0.001691)","Location(x=-112.180756, y=-60.188503, z=0.000000)",9.25127124786377,111,1,1,8.623497047182342,0.1197699115676736,8.818603161553256,17.60065915433804,0
36,-11.245500982863526,"Location(x=-109.532143, y=-45.859978, z=0.001796)","Location(x=-110.436195, y=-45.816269, z=0.000000)",9.655896186828613,117,1,1,11.456558222608624,0.08377954560423564,12.350994220527355,19.087921930922263,0
37,-14.08718336164204,"Location(x=-109.633171, y=-47.333782, z=0.001704)","Location(x=-110.550720, y=-47.295048, z=0.000000)",9.679441928863525,117,1,1,10.088386017059603,0.09526232993340997,10.870291925530182,21.565366494279097,0
38,-17.29296173718898,"Location(x=-113.172539, y=-61.007004, z=0.001866)","Location(x=-112.275696, y=-61.069752, z=0.000000)",7.403470277786255,89,1,1,9.738088469705463,0.13214803105899894,7.975108871643897,18.45144997274302,0
39,-8.061684667577355,"Location(x=-109.315758, y=-42.826241, z=0.001766)","Location(x=-110.260872, y=-42.824104, z=0.000000)",11.524465560913086,140,1,1,11.882225618218488,0.06716051613824282,15.356965947314166,19.806369464000664,0
40,-8.63673561089233,"Location(x=-112.386177, y=-55.250690, z=0.001748)","Location(x=-111.499702, y=-55.377945, z=0.000000)",9.583945274353027,116,1,1,12.824063065125237,0.07503402199973662,13.702136731240898,22.73114169695896,0
41,-4.1951682129584,"Location(x=-109.198318, y=-33.449780, z=0.001824)","Location(x=-110.152061, y=-33.488987, z=0.000000)",13.618980646133423,165,1,3,16.261122601138112,0.04112509629977074,24.719625373138115,24.886929070712384,0
42,-15.298406184370016,"Location(x=-109.836258, y=-49.020962, z=0.001750)","Location(x=-110.702034, y=-48.962456, z=0.000000)",7.952141284942627,96,1,1,10.405535295396357,0.11372460450899353,9.183626018697396,20.79146193999341,0
43,-16.479400205808652,"Location(x=-113.240425, y=-61.066776, z=0.001799)","Location(x=-112.282478, y=-61.137608, z=0.000000)",6.593181371688843,80,1,1,10.75191856630365,0.1327766270242131,7.9187980692368,18.896316446897494,0
44,-15.928239401761266,"Location(x=-113.142586, y=-60.461052, z=0.001713)","Location(x=-112.216957, y=-60.510830, z=0.000000)",7.256872892379761,88,1,1,10.520991324779025,0.12300923587821448,8.514169758505886,22.249847125202844,0
45,-9.923263416155743,"Location(x=-112.585167, y=-56.003670, z=0.001757)","Location(x=-111.611938, y=-56.138718, z=0.000000)",9.305363655090332,113,1,1,12.44621813290662,0.0797748113920718,12.954728228593012,19.966802756767258,0
46,-19.028398774475246,"Location(x=-111.389069, y=-6.820333, z=0.001779)","Location(x=-110.349106, y=-6.847755, z=0.000000)",24.608783960342407,295,1,13,18.90087572269788,0.019654632481267392,51.4504231310857,32.46412590591292,0
47,-2.685143625344919,"Location(x=-109.221451, y=-40.272339, z=0.001759)","Location(x=-110.170982, y=-40.280708, z=0.000000)",10.349151849746704,125,1,1,15.520033789210945,0.05697929452585625,17.89033310697414,25.505180328737655,0
48,-3.4765264199018553,"Location(x=-109.106636, y=-36.180187, z=0.001761)","Location(x=-110.134735, y=-36.212864, z=0.000000)",12.529445171356201,149,1,2,15.95489527001372,0.04629651409429546,21.943151840008795,23.29741451162801,0
49,-17.62278822812093,"Location(x=-112.938324, y=-58.762070, z=0.001808)","Location(x=-112.012970, y=-58.855583, z=0.000000)",8.227639436721802,99,1,3,11.195879968568997,0.10189876506385734,10.197415644768625,20.017184390987783,0
50,-19.739154478809866,"Location(x=-113.194321, y=-62.527676, z=0.001821)","Location(x=-112.406433, y=-62.533424, z=0.000000)",6.869346857070923,82,1,1,8.584466087952336,0.165488692774511,6.4698809141118545,18.953579446743205,0
51,-2.9977544557175726,"Location(x=-111.598770, y=-45.288055, z=0.001779)","Location(x=-110.405899, y=-45.379307, z=0.000000)",13.29250979423523,161,1,2,15.969528517860974,0.042897560396643705,23.703071744181216,25.350968933468284,0
52,-4.8431812535067404,"Location(x=-109.047432, y=-33.060852, z=0.001825)","Location(x=-110.154930, y=-33.100971, z=0.000000)",13.113298177719116,160,1,2,16.986159979944066,0.040390296370795296,25.072999332653126,30.9267909901469,0
