episode,speed,reward,vehicle_location,waypoint,duration,timesteps,collisions,lane_invasions,avg_speed,waypoint_similarity
0,24.59183828633988,-37.75986424465716,"Location(x=2.899483, y=-5.080812, z=0.108414)","Location(x=4.326005, y=-0.952361, z=0.000000)",14.538390874862671,292,1,4,16.78710265790969,0.00012110900103859657
1,32.58919029208893,-37.37883857030524,"Location(x=306.191650, y=332.926941, z=0.055283)","Location(x=306.191650, y=330.609985, z=0.000000)",18.375323057174683,306,1,2,20.851315367373115,8.805603173546171e-05
0,24.993675337738253,-26.541718747388096,"Location(x=18.371407, y=-5.044055, z=0.076964)","Location(x=18.372391, y=-2.022393, z=0.000000)",10.201264381408691,205,1,3,15.77940183736595,0.0002526267518743438
1,37.680115396371484,-56.47115862563782,"Location(x=266.927490, y=322.716980, z=0.105383)","Location(x=266.927429, y=326.607452, z=0.000000)",27.878133535385132,455,1,8,23.3467835947888,3.6332622748943197e-05
2,30.936237804828554,-18.916763402750746,"Location(x=197.944138, y=193.912872, z=0.033350)","Location(x=197.944046, y=195.148727, z=0.000000)",33.512396574020386,227,1,2,17.61867841942066,0.00018304678464648575
3,20.43942901501929,-30.647890334332082,"Location(x=84.299469, y=195.690643, z=0.109725)","Location(x=88.399750, y=195.690018, z=0.000000)",32.898324728012085,242,1,0,16.628961292251617,0.00017697738063152517
4,37.345709479374484,-77.24567453022739,"Location(x=385.003571, y=268.928497, z=0.319281)","Location(x=392.330719, y=268.926361, z=0.000000)",60.98837471008301,455,1,8,25.157682886569052,3.351723534439979e-05
5,30.54749031441977,-29.948055235636655,"Location(x=95.869400, y=330.428314, z=0.001878)","Location(x=95.869316, y=330.585968, z=0.000000)",40.0331974029541,301,1,6,20.006268587515926,9.785395735172569e-05
6,23.388052040190168,-19.191003931380873,"Location(x=351.387848, y=-3.944681, z=0.053662)","Location(x=351.386810, y=-1.997639, z=0.000000)",21.95557165145874,144,1,2,14.28656689148817,0.0005644073951737553
7,37.61799161813784,-77.15705905241089,"Location(x=-4.616620, y=65.646362, z=0.068731)","Location(x=-2.051451, y=65.646820, z=0.000000)",69.50012826919556,511,1,17,26.006590187600672,2.6088078575877143e-05
8,20.25280353753294,-23.59842878430059,"Location(x=397.294769, y=198.928741, z=0.001782)","Location(x=396.311035, y=198.928955, z=0.000000)",14.19033932685852,102,1,3,10.739381746016592,0.0013494948273062185
9,29.92371539341432,-48.23029030192725,"Location(x=364.788727, y=-3.650823, z=0.053968)","Location(x=364.787842, y=-1.990520, z=0.000000)",37.43938422203064,277,1,7,23.118337267977285,0.00010057776031995403
10,29.372234611806547,-16.701480809031647,"Location(x=337.140747, y=-1.963597, z=0.001837)","Location(x=337.140778, y=-2.005207, z=0.000000)",34.57525372505188,259,1,0,19.801720506160652,0.00012919440824175183
11,21.11602015242142,-27.032263391898162,"Location(x=95.187088, y=72.639160, z=0.074987)","Location(x=92.381042, y=72.639587, z=0.000000)",30.35181999206543,223,1,3,16.309702961189675,0.0002127356790976876
12,39.14411040172679,-30.84968919118744,"Location(x=193.032959, y=55.644691, z=1.408173)","Location(x=193.032928, y=55.487495, z=0.000000)",33.7627809047699,238,1,8,19.672744843657455,0.00015688960623519403
13,20.691780398260942,-26.030564824503376,"Location(x=342.392578, y=200.110504, z=0.074841)","Location(x=338.779053, y=200.108322, z=0.000000)",33.29786276817322,248,1,0,15.399176697345425,0.00018935942202679714
14,25.773738589513666,-18.86669301231633,"Location(x=173.783646, y=324.836761, z=0.054009)","Location(x=173.783447, y=326.597504, z=0.000000)",24.858274459838867,179,1,2,15.99949590178213,0.0003222875769653591
15,26.478489034825056,-24.28367468786555,"Location(x=95.098579, y=146.949417, z=0.069887)","Location(x=92.392342, y=146.949844, z=0.000000)",24.6646785736084,176,1,3,14.789199765489547,0.00034896528109999806
16,32.01782524816877,-33.78436918800325,"Location(x=229.564468, y=194.288055, z=0.001988)","Location(x=229.564423, y=195.151291, z=0.000000)",38.10856604576111,257,1,5,22.656997648003156,0.00011396839720296787
17,21.631850889381674,-37.03816210275808,"Location(x=96.917763, y=87.424332, z=0.106184)","Location(x=92.383293, y=87.425026, z=0.000000)",32.047720432281494,230,1,4,13.964164187558149,0.0002211765908877847
18,28.309635505800347,-52.87048579596872,"Location(x=150.602570, y=13.035906, z=0.078124)","Location(x=154.064087, y=13.040112, z=0.000000)",41.270646810531616,292,1,10,19.550705479953745,0.00010833197469736629
19,23.914491330313087,-107.31020136786954,"Location(x=99.586830, y=104.370148, z=0.128613)","Location(x=92.385872, y=104.371246, z=0.000000)",107.32886075973511,741,1,22,26.651894407229566,1.338986304699007e-05
20,33.39356379590186,-54.543117657498584,"Location(x=297.356354, y=333.137970, z=0.066574)","Location(x=297.356812, y=330.609985, z=0.000000)",49.76548957824707,336,1,9,21.994099708966118,7.180497401932539e-05
21,24.845258422770907,-17.333495803634353,"Location(x=391.245880, y=180.650467, z=0.007425)","Location(x=392.307190, y=180.650238, z=0.000000)",20.44071078300476,152,1,1,12.098401997350393,0.000554553468733058
22,28.24058691423645,-47.551734954137714,"Location(x=402.514099, y=12.209335, z=0.289040)","Location(x=396.377197, y=12.201970, z=0.000000)",49.30244064331055,357,1,4,17.444173073254145,7.97202448663751e-05
23,20.87215456434509,-21.815779171986673,"Location(x=369.597260, y=-3.619795, z=0.053139)","Location(x=369.596405, y=-1.987965, z=0.000000)",19.156710386276245,123,1,2,12.208589156162418,0.0008493569795722376
24,29.67844015632691,-23.089314792957865,"Location(x=171.231873, y=54.056763, z=0.020512)","Location(x=171.232040, y=55.490150, z=0.000000)",33.75480103492737,237,1,2,19.067750774919798,0.00015923053299271526
25,29.473388044170147,-76.10370611204307,"Location(x=327.596710, y=125.120850, z=0.105073)","Location(x=327.682251, y=129.515839, z=0.000000)",59.41127896308899,432,1,10,27.128060488028815,3.650330384197691e-05
26,28.168516598392443,-45.45785264407226,"Location(x=327.669617, y=52.107826, z=0.117045)","Location(x=327.716797, y=55.471085, z=0.000000)",32.760281562805176,236,1,6,18.542144136469844,0.00016619715125194755
27,32.4747057834151,-55.33566686683881,"Location(x=222.938507, y=135.143646, z=0.053843)","Location(x=222.939255, y=133.469193, z=0.000000)",52.00032591819763,338,1,9,24.698265480134918,6.387517414395377e-05
28,28.80056857131974,-15.80392936685817,"Location(x=-3.216126, y=60.387352, z=0.023124)","Location(x=-2.049425, y=60.387558, z=0.000000)",25.59407615661621,175,1,1,16.888591884796394,0.0003241569059430494
29,31.867935129703287,-59.27107517556699,"Location(x=78.758804, y=6.798079, z=0.099775)","Location(x=78.757233, y=1.957927, z=0.000000)",58.62520742416382,409,1,8,20.494268874096136,5.214008390120541e-05
30,22.324092220891995,-8.335289524465674,"Location(x=144.324905, y=60.313076, z=0.001899)","Location(x=144.324799, y=59.493431, z=0.000000)",30.460081338882446,203,1,0,15.101088485366116,0.0002686819688356916
31,18.090438733296477,-35.78961702118482,"Location(x=395.037811, y=1.518782, z=0.024403)","Location(x=393.963196, y=2.053473, z=0.000000)",21.41240954399109,147,1,8,12.562557133810918,0.0006040389816660508
32,23.623423774408526,-16.823721180975358,"Location(x=92.024704, y=330.414825, z=0.001832)","Location(x=92.024612, y=330.583893, z=0.000000)",26.33088970184326,191,1,2,17.50174562515656,0.00027256902185506584
33,32.25511312346308,-53.835102911823455,"Location(x=153.323196, y=125.682701, z=0.105673)","Location(x=153.321579, y=129.438095, z=0.000000)",40.92780089378357,269,1,8,19.608069015432214,0.00011829999268069208
34,20.821399257761573,-28.705581980067645,"Location(x=-1.601660, y=325.855743, z=0.037545)","Location(x=-0.006323, y=325.080536, z=0.000000)",20.68339967727661,145,1,5,12.386108104822485,0.0006271134337260473
35,31.991412062160812,-65.40532877749762,"Location(x=322.545441, y=137.690567, z=0.119389)","Location(x=322.547333, y=133.513702, z=0.000000)",73.90216898918152,515,1,11,23.853750682854717,2.995189641526611e-05
36,34.50791851878229,-38.42875375328573,"Location(x=148.849747, y=134.419281, z=0.013664)","Location(x=148.850174, y=133.436096, z=0.000000)",53.09621262550354,352,1,5,21.94407131131103,6.33516465199822e-05
37,28.66132062671214,-17.84679143152231,"Location(x=212.802948, y=193.863846, z=0.024526)","Location(x=212.802872, y=195.149933, z=0.000000)",31.273014783859253,213,1,1,17.516744015568275,0.00020880340036821333
38,28.056857165895217,-60.22634472983499,"Location(x=83.135353, y=138.056671, z=0.102306)","Location(x=88.390991, y=138.055878, z=0.000000)",37.872085094451904,266,1,8,19.283043925700138,0.00012901599926102295
39,18.301655290004444,-30.493676996683103,"Location(x=389.425140, y=121.391289, z=0.078301)","Location(x=392.294678, y=121.390678, z=0.000000)",21.302233934402466,148,1,3,12.141862094205468,0.000614312510632603
40,33.57155277740559,-30.93637378254801,"Location(x=-4.827085, y=87.907745, z=0.075776)","Location(x=-2.059937, y=87.909416, z=0.000000)",34.268858909606934,233,1,3,18.38488376770818,0.00016664986328042517
41,21.713937694335623,-21.744626238298938,"Location(x=382.605072, y=332.477051, z=0.053050)","Location(x=382.605072, y=330.609985, z=0.000000)",21.037904977798462,154,1,2,12.820074678856622,0.0005190877129654492
42,25.79952527559827,-10.603224601113508,"Location(x=86.983131, y=330.248169, z=0.001806)","Location(x=86.982956, y=330.581207, z=0.000000)",28.192432641983032,205,1,0,16.16077924878651,0.00024121208114932468
43,25.551125251592833,-59.00250020669981,"Location(x=114.110466, y=6.939744, z=0.106987)","Location(x=114.110115, y=1.951177, z=0.000000)",52.19953513145447,374,1,6,20.984917661550348,6.17901621939311e-05
44,29.311430660756695,-10.14028558573808,"Location(x=250.943665, y=-2.847925, z=0.001710)","Location(x=250.942596, y=-2.034219, z=0.000000)",30.638120889663696,204,1,1,14.921557948740219,0.0002566155017812417
45,31.21406667668489,-38.07053354269947,"Location(x=225.306168, y=128.130920, z=0.041221)","Location(x=225.305618, y=129.470245, z=0.000000)",54.2083957195282,371,1,6,19.98665739178342,6.516168081462708e-05
46,30.488887162376255,-49.75266936130923,"Location(x=396.894592, y=171.051712, z=0.001872)","Location(x=396.305176, y=171.051834, z=0.000000)",57.86366057395935,407,1,11,22.386003431718546,4.6499114065808776e-05
47,37.117851841730044,-48.1563065540254,"Location(x=338.666504, y=330.298981, z=0.001897)","Location(x=338.666504, y=330.609985, z=0.000000)",70.46116423606873,503,1,9,25.858602934286775,2.8095049793003367e-05
48,38.16937159952389,-50.92595105103705,"Location(x=304.708618, y=53.342609, z=0.052765)","Location(x=304.708862, y=55.473888, z=0.000000)",59.99842357635498,413,1,6,23.987210665506016,4.21347513306953e-05
49,27.13631788461101,-30.716873882400908,"Location(x=148.969681, y=60.769714, z=0.041158)","Location(x=148.969528, y=59.492867, z=0.000000)",37.867839097976685,253,1,4,18.270369909233054,0.00015031515268901512
50,25.706276856435107,-49.568215632267965,"Location(x=-1.571730, y=324.515686, z=0.013473)","Location(x=-0.507813, y=324.182281, z=0.000000)",48.28906774520874,350,1,13,19.492568143237403,7.634043021633549e-05
51,26.116701201736277,-21.045765438461075,"Location(x=170.123749, y=-4.570412, z=0.053865)","Location(x=170.123474, y=-2.042845, z=0.000000)",32.845351696014404,222,1,2,14.95599509595947,0.00022323099006603056
52,29.720102183021407,-19.51026479938892,"Location(x=207.769226, y=200.951965, z=0.052672)","Location(x=207.769363, y=199.149521, z=0.000000)",25.201354503631592,178,1,2,16.37139320001745,0.000325088557183715
53,31.825701352898392,-57.57537386911969,"Location(x=292.743164, y=125.065361, z=0.103227)","Location(x=292.741211, y=129.500381, z=0.000000)",51.39380478858948,357,1,8,19.656297439906687,7.112038810222379e-05
54,28.735946340727423,-28.6251437947292,"Location(x=245.749527, y=332.862610, z=0.053866)","Location(x=245.749725, y=330.605194, z=0.000000)",36.474526166915894,254,1,2,19.632247065228686,0.0001372900678516332
55,35.17434269391641,-73.3876498362532,"Location(x=6.408763, y=218.216263, z=0.105226)","Location(x=2.008095, y=218.215057, z=0.000000)",56.74450612068176,382,1,16,22.3085294238738,5.546235085125787e-05
56,36.16445174142595,-28.610739814881743,"Location(x=280.549072, y=60.187160, z=0.001829)","Location(x=280.548981, y=59.476830, z=0.000000)",41.85667419433594,256,1,5,17.817780426103653,0.00013945728651326676
57,32.71647288999163,-45.76598504916271,"Location(x=108.309235, y=325.289764, z=0.033844)","Location(x=108.309059, y=326.590515, z=0.000000)",59.08232045173645,423,1,9,23.67469379126775,4.2738505121793076e-05
58,31.94088045022354,-76.46474772411742,"Location(x=380.888275, y=334.106873, z=0.066340)","Location(x=380.888275, y=330.609985, z=0.000000)",55.62269449234009,412,1,17,22.937820667007724,4.605411746805087e-05
59,25.03310699455641,-26.6662904517596,"Location(x=246.197296, y=191.973007, z=0.101801)","Location(x=246.197067, y=195.152649, z=0.000000)",27.716033697128296,184,1,3,14.816798397638788,0.0003219944077143853
60,23.15215633405199,-38.573015109419124,"Location(x=-4.065838, y=143.789261, z=0.053962)","Location(x=-2.030779, y=143.788193, z=0.000000)",38.51780962944031,265,1,6,18.26341752485587,0.0001386271548055572
61,29.72297873483473,-50.20470196321935,"Location(x=343.754120, y=125.738495, z=0.097402)","Location(x=338.823975, y=125.735512, z=0.000000)",48.725043535232544,353,1,6,18.889394397338123,7.705135495089096e-05
62,21.952850509432714,-30.575761834418635,"Location(x=391.512268, y=170.947296, z=0.001942)","Location(x=392.305145, y=170.947128, z=0.000000)",33.75463914871216,229,1,5,18.186024228799823,0.0001812894443496364
63,31.024163516306597,-79.00390539775807,"Location(x=389.087616, y=40.460613, z=0.105936)","Location(x=392.343262, y=40.463432, z=0.000000)",70.98081731796265,512,1,15,26.30012134917344,2.7082781845306822e-05
64,40.43833645861731,-62.52868208578043,"Location(x=93.459587, y=244.902298, z=0.011719)","Location(x=92.407234, y=244.902466, z=0.000000)",112.29350209236145,787,1,9,29.47414659669698,9.815474554225206e-06
65,32.08737911904405,-47.368065201513446,"Location(x=3.416386, y=97.908249, z=0.028725)","Location(x=1.945259, y=97.908058, z=0.000000)",36.054176568984985,245,1,8,22.12528863750354,0.00013343045146389614
66,27.99036134023999,-42.55775308486951,"Location(x=367.553833, y=335.129913, z=0.105996)","Location(x=367.553833, y=330.609985, z=0.000000)",48.40471935272217,347,1,2,20.805605107103496,7.150112918666594e-05
67,31.14048319459026,-36.954097357291296,"Location(x=293.353241, y=194.133453, z=0.025156)","Location(x=293.353180, y=195.156479, z=0.000000)",35.07088804244995,250,1,5,20.845380722198446,0.0001283598164834528
68,23.471475958871398,-43.61820733371398,"Location(x=313.577454, y=134.564133, z=0.024135)","Location(x=313.577942, y=133.509689, z=0.000000)",48.29108119010925,338,1,11,20.90951221299265,7.579445258078436e-05
69,34.85173351454054,-67.5576301755009,"Location(x=83.821434, y=203.148758, z=0.105767)","Location(x=88.400887, y=203.148071, z=0.000000)",50.197402477264404,325,1,8,24.294166997302295,6.761883348600129e-05
70,29.343857796006148,-36.16049885098736,"Location(x=364.835449, y=-3.437387, z=0.038479)","Location(x=364.834686, y=-1.990495, z=0.000000)",45.51972413063049,328,1,5,19.59738851511955,8.622006288562051e-05
71,30.031220147982765,-63.78135674171391,"Location(x=385.341003, y=-2.485753, z=0.014651)","Location(x=385.340759, y=-1.979602, z=0.000000)",49.02854943275452,343,1,20,22.883994766528,6.675087235195911e-05
72,37.93582223112593,-49.104097718893044,"Location(x=84.146729, y=-1.527182, z=0.002989)","Location(x=84.037872, y=-1.971491, z=0.000000)",61.0725679397583,423,1,8,27.59921827825934,3.632233157644029e-05
73,29.59525514872485,-45.593735077888404,"Location(x=328.367035, y=137.336868, z=0.052576)","Location(x=328.716370, y=133.532959, z=0.000000)",44.405051946640015,311,1,2,22.28517846478215,8.194237668627693e-05
74,24.940750278466755,-14.250903637990763,"Location(x=337.569672, y=330.161835, z=0.001803)","Location(x=337.569672, y=330.609985, z=0.000000)",26.13963270187378,191,1,0,17.967943582670674,0.0002656931301957571
75,24.73301263156328,-18.33785169286059,"Location(x=94.187088, y=14.981524, z=0.053531)","Location(x=92.372284, y=14.981799, z=0.000000)",17.356577157974243,122,1,2,14.376238985940752,0.0007523127213159734
76,26.56148666966386,-30.41575404795234,"Location(x=333.937622, y=256.801910, z=0.001850)","Location(x=334.744812, y=256.802368, z=0.000000)",41.01906418800354,268,1,5,18.157948798490793,0.00013205461797827025
77,26.174607174834033,-27.726440687649152,"Location(x=395.603699, y=2.457734, z=0.025946)","Location(x=394.670715, y=3.047407, z=0.000000)",21.138800382614136,144,1,5,13.243774439248487,0.0005539696510250665
78,27.19544366204461,-21.774963722293958,"Location(x=230.392670, y=192.853302, z=0.053955)","Location(x=230.392502, y=195.151367, z=0.000000)",28.224135160446167,189,1,2,16.140900308870144,0.000278947789875448
79,23.32298128879303,-30.341371173590325,"Location(x=395.792175, y=3.029885, z=0.036399)","Location(x=394.867615, y=3.371193, z=0.000000)",22.46084427833557,153,1,6,12.613946899194774,0.0005500230640392498
80,34.42501911077852,-65.66753893417803,"Location(x=4.538499, y=259.256805, z=0.071589)","Location(x=2.017618, y=259.256866, z=0.000000)",65.3604371547699,471,1,11,25.339375169648957,3.2221781534746e-05
81,24.755744735702006,-35.76132219785885,"Location(x=-0.245914, y=-2.898592, z=0.102726)","Location(x=2.252540, y=0.263930, z=0.000000)",16.357134103775024,115,1,3,12.490794912149486,0.0009081666777648917
82,30.783545740862806,-24.70985573105964,"Location(x=336.819550, y=330.207916, z=0.001827)","Location(x=336.819550, y=330.609985, z=0.000000)",39.300013303756714,293,1,2,20.966730915839612,9.601883140370177e-05
83,25.93757761142424,-37.27987521563187,"Location(x=99.630791, y=201.293213, z=0.055845)","Location(x=99.630966, y=199.140747, z=0.000000)",38.87894058227539,278,1,6,17.155730236765706,0.00013524060569269187
84,20.314652572358685,-23.876600349765646,"Location(x=104.882431, y=-4.750813, z=0.053842)","Location(x=104.882156, y=-2.049808, z=0.000000)",35.11746430397034,244,1,2,16.153419259033235,0.00018075520040533593
85,33.57324204986621,-25.640990849917564,"Location(x=93.214828, y=330.290161, z=0.001741)","Location(x=93.214668, y=330.584534, z=0.000000)",47.118141174316406,331,1,2,22.121005624857467,7.18662007788653e-05
86,30.75270702194227,-24.62733570099506,"Location(x=263.112183, y=60.278938, z=1.620361)","Location(x=263.112091, y=59.478954, z=0.000000)",46.31314516067505,336,1,7,16.416037929062018,9.095407500647828e-05
87,29.676652420500776,-47.14511502312172,"Location(x=196.321396, y=62.098568, z=1.066860)","Location(x=196.321075, y=59.487095, z=0.000000)",44.58941650390625,312,1,7,22.764785667256167,7.965198215879506e-05
88,24.705903104025875,-23.929950847446168,"Location(x=151.999191, y=29.103447, z=0.053430)","Location(x=154.044571, y=29.105930, z=0.000000)",20.485596656799316,134,1,2,12.265780309761388,0.0007042505691508659
89,27.004506283570695,-77.93341751062414,"Location(x=77.569038, y=13.685613, z=0.420444)","Location(x=88.372086, y=13.683969, z=0.000000)",40.659990072250366,300,1,4,20.274084941436517,9.347409088176604e-05
90,23.722739631949118,-51.87033305048761,"Location(x=220.849609, y=187.854248, z=0.102937)","Location(x=220.849045, y=195.150589, z=0.000000)",37.74968910217285,257,1,4,16.355302373060564,0.00015332383265485364
91,30.6128122782688,-46.28911808945315,"Location(x=343.300964, y=208.213486, z=0.106889)","Location(x=338.774170, y=208.210754, z=0.000000)",49.70620942115784,349,1,2,19.795560698716177,7.305268977863595e-05
92,33.52669534842465,-51.5284489403706,"Location(x=86.847321, y=71.318199, z=0.025688)","Location(x=88.380844, y=71.317963, z=0.000000)",69.37020754814148,474,1,6,25.840608971384917,3.13041425562187e-05
93,31.04185427098571,-46.64656751509863,"Location(x=309.731659, y=321.136475, z=0.104549)","Location(x=309.731262, y=326.609985, z=0.000000)",45.30349135398865,291,1,2,20.729043963716503,9.895090033100844e-05
94,27.033914516376786,-11.787859704135215,"Location(x=93.356239, y=243.540421, z=0.007135)","Location(x=92.407028, y=243.540588, z=0.000000)",21.303237676620483,139,1,1,15.356552131937907,0.0005323674943977541
95,23.837897323752085,-35.93988487989957,"Location(x=84.865776, y=216.215073, z=0.105750)","Location(x=88.402870, y=216.214539, z=0.000000)",36.0732638835907,253,1,2,19.9711297523606,0.00013357183727243747
96,29.726857970699005,-16.53695612876716,"Location(x=93.421593, y=243.029327, z=0.010525)","Location(x=92.406944, y=243.029495, z=0.000000)",31.212443828582764,201,1,1,17.560176892666387,0.00023783131324059197
97,29.950497867805122,-57.531346651154706,"Location(x=83.467682, y=205.765945, z=0.102759)","Location(x=88.401283, y=205.765198, z=0.000000)",41.87251329421997,279,1,10,16.704894129365076,0.00013011290353503137
