episode,reward,vehicle_location,waypoint,duration,timesteps,collisions,lane_invasions,avg_speed,total_distance,max_speed,throttle_diff
0,-5.3834043412099355,"Location(x=-113.213066, y=-61.877922, z=0.002686)","Location(x=-112.358849, y=-61.961258, z=0.000000)",2.9646503925323486,89,1,1,8.848103957219433,7.239362724591047,21.202573968692196,0.4642857142857143
1,-4.837974841731406,"Location(x=-113.189171, y=-62.212536, z=0.002205)","Location(x=-112.380394, y=-62.215744, z=0.000000)",2.8950371742248535,87,1,1,8.611177197732482,6.897840623743832,20.806129497492563,0.03571428571428581
2,-4.94969555498639,"Location(x=-109.452682, y=-44.174213, z=0.001096)","Location(x=-110.329643, y=-44.156597, z=0.000000)",4.24336051940918,128,1,1,11.978571746616964,14.147391995415092,22.559623272422897,0.1785714285714286
3,-5.620869235690549,"Location(x=-109.201920, y=-39.493904, z=0.001678)","Location(x=-110.154510, y=-39.513454, z=0.000000)",5.713777542114258,154,1,1,13.210140223683462,18.801407053600997,22.12955648949894,0.6071428571428572
4,-5.465049781028654,"Location(x=-109.453972, y=-45.441166, z=0.001668)","Location(x=-110.407341, y=-45.400566, z=0.000000)",3.9872488975524902,120,1,1,11.619821311191606,12.884866648353636,20.503345791729814,0.4642857142857143
5,-4.975830886654146,"Location(x=-113.006882, y=-59.361042, z=0.000332)","Location(x=-112.093994, y=-59.470425, z=0.000000)",3.4545977115631104,104,1,1,10.171361192443985,9.742081596516073,21.362509645021106,0.1785714285714286
6,-4.885103607267779,"Location(x=-113.053398, y=-60.605625, z=0.000570)","Location(x=-112.231926, y=-60.648830, z=0.000000)",3.2704288959503174,98,1,1,9.390324453057776,8.476902001071721,21.424273955314188,0.1785714285714286
7,-4.711930158327472,"Location(x=-109.318878, y=-41.671043, z=0.001134)","Location(x=-110.213020, y=-41.660728, z=0.000000)",4.681040287017822,141,1,1,12.758997573820803,16.606805266812444,21.33734163545562,0.25
8,-4.934592614540872,"Location(x=-112.892494, y=-58.948681, z=0.000238)","Location(x=-112.037613, y=-59.037720, z=0.000000)",3.4187614917755127,103,1,1,10.711959988359668,10.151556867640465,21.854825493664222,0.1071428571428571
9,-4.930571369221241,"Location(x=-109.465630, y=-44.826492, z=0.001286)","Location(x=-110.368073, y=-44.797882, z=0.000000)",4.02682089805603,121,1,1,12.06297182288284,13.476229840423912,20.800743502364348,0.1785714285714286
10,-4.902638161578389,"Location(x=-109.629410, y=-46.020950, z=0.000753)","Location(x=-110.447975, y=-45.980064, z=0.000000)",3.8997554779052734,117,1,1,11.396726085469478,12.28942906204611,21.240162435389326,0.03571428571428581
11,-5.223403360776345,"Location(x=-113.188065, y=-61.907143, z=0.003170)","Location(x=-112.361176, y=-61.988358, z=0.000000)",3.2305595874786377,89,1,1,8.780793986514912,7.1919613420031965,21.415300353225845,0.32142857142857145
12,-5.707983670183429,"Location(x=-113.041290, y=-59.780159, z=0.000295)","Location(x=-112.146812, y=-59.899223, z=0.000000)",3.324227809906006,100,1,1,10.135732375941892,9.327250636182725,21.25770740317535,0.75
13,-5.381275105111745,"Location(x=-113.149101, y=-61.026203, z=0.002371)","Location(x=-112.277412, y=-61.086903, z=0.000000)",3.126049280166626,94,1,1,9.366915860924639,8.095359221100807,21.34777980205626,0.4642857142857143
14,-5.374604998835473,"Location(x=-111.242432, y=-21.821669, z=0.001330)","Location(x=-110.238152, y=-21.849285, z=0.000000)",8.400055408477783,254,1,1,15.53328559224415,36.474834602791816,21.93900627753064,0.32142857142857145
15,-5.283029144321315,"Location(x=-109.233749, y=-42.077919, z=0.001565)","Location(x=-110.228119, y=-42.058914, z=0.000000)",4.611629962921143,139,1,1,12.675189978017665,16.24792778212577,20.89814181835203,0.24285045691898893
16,-5.791030863498034,"Location(x=-109.154694, y=-38.462025, z=0.000068)","Location(x=-110.140015, y=-38.471550, z=0.000000)",5.222833871841431,157,1,1,13.674325223736922,19.83972497470677,22.513163097396777,0.75
17,-5.0608160210262705,"Location(x=-109.345390, y=-44.775185, z=0.001863)","Location(x=-110.364471, y=-44.740276, z=0.000000)",4.085733890533447,123,1,1,11.947272258417422,13.56669267360121,21.404358320495007,0.03571428571428581
18,-4.916031095544722,"Location(x=-113.200943, y=-61.868656, z=0.002955)","Location(x=-112.357933, y=-61.950607, z=0.000000)",2.961299419403076,89,1,1,8.880457223531518,7.261839050799608,21.925896045023734,0.1071428571428571
19,-4.931648393319807,"Location(x=-113.086006, y=-60.091320, z=0.000849)","Location(x=-112.173882, y=-60.128914, z=0.000000)",3.324859142303467,100,1,1,9.809222856131246,9.021684605861083,20.624689785668345,0.1071428571428571
20,-5.486056340536027,"Location(x=-109.182701, y=-39.054234, z=0.001294)","Location(x=-110.147377, y=-39.079826, z=0.000000)",5.139162063598633,155,1,1,13.52431243666415,19.25032339990139,22.500919900772658,0.4642857142857143
21,-4.942398620904254,"Location(x=-109.507675, y=-45.389790, z=0.003475)","Location(x=-110.404160, y=-45.353371, z=0.000000)",3.919393301010132,118,1,1,11.898797823553686,12.951844569295645,22.31870963509732,0.1785714285714286
22,-4.844892797766728,"Location(x=-113.126297, y=-61.463509, z=0.002962)","Location(x=-112.320251, y=-61.530170, z=0.000000)",2.994105100631714,90,1,1,9.245039615321407,7.654767451342195,21.59994710543141,0.1071428571428571
23,-4.786821284979495,"Location(x=-113.164131, y=-63.005447, z=0.001311)","Location(x=-112.444542, y=-63.008369, z=0.000000)",2.763153553009033,83,1,1,8.07082597597141,6.14417158998549,20.585431472708265,0.03571428571428581
24,-4.921506229555753,"Location(x=-112.951401, y=-59.221550, z=0.000628)","Location(x=-112.074959, y=-59.321674, z=0.000000)",3.4582197666168213,104,1,1,10.32036819470922,9.88223376357928,21.57472318589265,0.1071428571428571
25,-5.232314103841337,"Location(x=-113.033829, y=-59.888519, z=0.000866)","Location(x=-112.159729, y=-60.007866, z=0.000000)",3.355468511581421,101,1,1,9.886787197105662,9.210347650106996,20.28774010968281,0.32142857142857145
26,-5.397999631720462,"Location(x=-113.154037, y=-61.100456, z=0.001149)","Location(x=-112.285004, y=-61.163055, z=0.000000)",3.0551161766052246,92,1,1,9.500906147461862,8.025320799089968,20.37102144457843,0.4642857142857143
27,-5.3932371246181265,"Location(x=-109.479393, y=-44.224415, z=0.000579)","Location(x=-110.332573, y=-44.207512, z=0.000000)",4.28186297416687,129,1,1,11.836935094778276,14.10088108945638,22.199993820354933,0.4642857142857143
28,-5.406924546084186,"Location(x=-109.098160, y=-35.570862, z=0.001577)","Location(x=-110.137436, y=-35.607010, z=0.000000)",5.798433780670166,175,1,1,14.058047428118511,22.711568178143352,21.65951220335896,0.32142857142857145
29,-5.820419598531583,"Location(x=-112.319389, y=-53.838242, z=0.000514)","Location(x=-111.301796, y=-53.995308, z=0.000000)",4.452017068862915,134,1,1,12.336988318089034,15.263004244305193,21.924678429441883,0.75
30,-5.644841382150072,"Location(x=-109.600494, y=-45.669727, z=0.002725)","Location(x=-110.423340, y=-45.633690, z=0.000000)",3.91816782951355,118,1,1,11.633557778418071,12.658290113322437,22.033766462669128,0.75
31,-5.629920880604607,"Location(x=-113.130516, y=-61.436703, z=0.002407)","Location(x=-112.317734, y=-61.503281, z=0.000000)",3.054992914199829,92,1,1,9.076576421879512,7.693519945256412,21.357648267207665,0.75
32,-4.556308266692927,"Location(x=-109.412758, y=-40.935204, z=0.001844)","Location(x=-110.189041, y=-40.938808, z=0.000000)",4.807045936584473,145,1,1,12.940499245110047,17.38249830296263,22.072722982735772,0.25
33,-4.933330651485602,"Location(x=-113.242332, y=-61.933464, z=0.003760)","Location(x=-112.363945, y=-62.020603, z=0.000000)",2.9224376678466797,88,1,1,8.92312575886741,7.212903657462448,22.09649962540114,0.1785714285714286
34,-5.561957994483045,"Location(x=-113.191727, y=-61.156811, z=0.002797)","Location(x=-112.291039, y=-61.224335, z=0.000000)",3.0270421504974365,91,1,1,9.52305646423853,7.974406032357365,21.993714503758504,0.6071428571428572
35,-4.84486846261726,"Location(x=-113.122536, y=-61.642231, z=0.002986)","Location(x=-112.336891, y=-61.711987, z=0.000000)",3.069840669631958,92,1,1,8.847393408315376,7.482897031586617,21.23752651409911,0.1785714285714286
36,-5.838477653337691,"Location(x=-109.133759, y=-7.604283, z=0.001333)","Location(x=-110.343208, y=-7.645033, z=0.000000)",10.84927248954773,326,1,2,16.6600792913231,50.62466174783185,22.090488264544437,0.6071428571428572
37,-5.640227669496582,"Location(x=-109.456734, y=-45.987354, z=0.002447)","Location(x=-110.444839, y=-45.936714, z=0.000000)",3.8537654876708984,116,1,1,11.559376938192404,12.355788654182106,21.539819403384463,0.6071428571428572
38,-4.913062625935077,"Location(x=-113.074081, y=-60.257103, z=0.000725)","Location(x=-112.193047, y=-60.296303, z=0.000000)",3.226825475692749,97,1,1,9.926130026896912,8.851869097910821,20.643474667760273,0.1785714285714286
39,-5.45833186406777,"Location(x=-109.056549, y=-31.277033, z=0.001105)","Location(x=-110.168121, y=-31.317177, z=0.000000)",6.525678873062134,197,1,2,14.842449869899896,26.991247041150928,21.765651338029024,0.32142857142857145
40,-4.6752848100709015,"Location(x=-113.158638, y=-61.179836, z=0.000742)","Location(x=-112.292992, y=-61.244400, z=0.000000)",3.092106580734253,93,1,1,9.279628156599943,7.943607083521783,21.576679583453203,0.25
41,-5.484481559953756,"Location(x=-109.174057, y=-38.742695, z=0.001467)","Location(x=-110.143478, y=-38.788338, z=0.000000)",5.173522472381592,156,1,1,13.578262369796466,19.553771048318595,21.558082010391832,0.4642857142857143
42,-5.020664492042274,"Location(x=-109.217651, y=-40.779583, z=0.000863)","Location(x=-110.184349, y=-40.780144, z=0.000000)",4.8116514682769775,145,1,1,13.087422321931992,17.530316032469273,22.125068905021067,0.1071428571428571
43,-5.462377165324306,"Location(x=-113.049294, y=-59.488457, z=-0.000185)","Location(x=-112.110916, y=-59.605186, z=0.000000)",3.4571750164031982,104,1,1,10.02687296597038,9.617309318855405,21.940662571773643,0.4642857142857143
44,-4.975745899208987,"Location(x=-113.033363, y=-59.510368, z=0.000662)","Location(x=-112.113403, y=-59.625137, z=0.000000)",3.359271287918091,101,1,1,10.315957452953027,9.591926908120513,21.987087250070573,0.1071428571428571
45,-5.469792570179646,"Location(x=-112.873085, y=-58.018108, z=0.002473)","Location(x=-111.904999, y=-58.099041, z=0.000000)",3.7023985385894775,111,1,1,10.786547290116742,11.051712486427277,21.882323674438165,0.4642857142857143
46,-5.581024816907837,"Location(x=-109.250015, y=-27.366632, z=0.001271)","Location(x=-110.197052, y=-27.405806, z=0.000000)",7.3238747119903564,221,1,1,15.211997278855355,30.882617234252393,22.58943554186398,0.6071428571428572
47,-5.209174633994901,"Location(x=-110.547211, y=31.181461, z=0.001285)","Location(x=-109.903473, y=31.073360, z=0.000000)",18.00890326499939,543,1,5,17.81054377494042,89.4991921656765,21.8007139288423,0.4642857142857143
