episode,reward,vehicle_location,waypoint,duration,timesteps,collisions,lane_invasions,avg_speed,total_distance,max_speed,throttle_diff
0,-5.89319119642297,"Location(x=-109.110161, y=-24.742792, z=0.001342)","Location(x=-110.216454, y=-24.782913, z=0.000000)",9.75477385520935,295,1,6,16.34010044624657,44.52891611959785,20.811472117959045,0.75
1,-5.164373443085998,"Location(x=-113.021225, y=-60.031361, z=-0.000578)","Location(x=-112.165993, y=-60.061306, z=0.000000)",3.3009166717529297,99,1,1,9.913634182005914,9.04396130470559,22.26064336730894,0.25
2,-5.647495941298585,"Location(x=-109.216568, y=-18.034977, z=0.001735)","Location(x=-110.266068, y=-18.074768, z=0.000000)",9.010242938995361,272,1,5,16.008067411288703,40.23661838658154,21.17872905976305,0.55
3,-5.4662269347185575,"Location(x=-109.475098, y=-45.111645, z=0.001183)","Location(x=-110.385963, y=-45.078396, z=0.000000)",4.061539173126221,122,1,1,11.707207603161836,13.197008387185633,21.023862563843768,0.5
4,-5.643101993210536,"Location(x=-109.064323, y=-29.999273, z=0.001011)","Location(x=-110.177574, y=-30.039429, z=0.000000)",6.964488506317139,210,1,2,14.569413055997906,28.239295618608594,22.036957928793043,0.5
5,-4.875881832181868,"Location(x=-113.118835, y=-61.479656, z=0.001941)","Location(x=-112.321709, y=-61.545868, z=0.000000)",3.0700230598449707,92,1,1,8.999958066280005,7.609486037865281,20.588484831508204,0.050000000000000044
6,-5.138239200575762,"Location(x=-113.037392, y=-60.001965, z=0.000922)","Location(x=-112.163170, y=-60.037186, z=0.000000)",3.3036046028137207,99,1,1,9.945227916597538,9.056291431654245,20.371702259912333,0.25
7,-5.5288711636502095,"Location(x=-109.458809, y=-45.200237, z=0.001817)","Location(x=-110.391586, y=-45.164379, z=0.000000)",4.093615293502808,123,1,1,11.58855121555793,13.128283603582531,20.491788438926726,0.55
8,-5.59844626007529,"Location(x=-113.129128, y=-60.552776, z=0.001158)","Location(x=-112.226967, y=-60.602802, z=0.000000)",3.237041711807251,97,1,1,9.560038931157534,8.537955953739583,21.84932796931708,0.65
9,-5.461067079085003,"Location(x=-109.695053, y=-47.828140, z=0.001247)","Location(x=-110.592651, y=-47.784050, z=0.000000)",3.5659356117248535,107,1,1,10.627183187183189,10.489152970258147,21.03679371893265,0.5
10,-5.547884939954138,"Location(x=-109.193336, y=-38.336361, z=0.001320)","Location(x=-110.138885, y=-38.347340, z=0.000000)",5.3166608810424805,160,1,1,13.496909127432549,19.938653890043497,21.810612739209052,0.5367578148841858
11,-4.878766631557106,"Location(x=-113.181366, y=-62.052986, z=0.001609)","Location(x=-112.369293, y=-62.083427, z=0.000000)",4.391517639160156,88,1,1,8.738257649649334,7.056680237641558,20.896915721037455,0.15000000000000002
12,-5.346501522862582,"Location(x=-109.420151, y=-40.377239, z=0.001193)","Location(x=-110.173714, y=-40.389538, z=0.000000)",7.050364971160889,211,1,5,14.888382751935476,29.034045982640237,21.934241437463882,0.5
13,-4.93099293258493,"Location(x=-113.117050, y=-60.427883, z=0.000551)","Location(x=-112.212959, y=-60.474461, z=0.000000)",3.2199690341949463,97,1,1,9.726609008485987,8.686817295383662,21.324009694401404,0.15000000000000002
