episode,reward,vehicle_location,waypoint,duration,timesteps,collisions,lane_invasions,avg_speed,waypoint_similarity,total_distance,max_speed
0,-56.226363170922504,"Location(x=-113.083481, y=-60.461990, z=0.000794)","Location(x=-112.216393, y=-60.505726, z=0.000000)",17.14560294151306,519,1,1,1.8059075271510088,0.12531464500703532,8.67483964865096,9.114486980438233
1,-47.80652850638795,"Location(x=-112.716034, y=-57.207413, z=0.000060)","Location(x=-111.790581, y=-57.333347, z=0.000000)",11.55794644355774,349,1,1,3.6821179916715114,0.08896101369337236,11.870111412601545,8.996298122406007
2,-29.5758336170605,"Location(x=-109.109726, y=-40.943333, z=0.000628)","Location(x=-110.189034, y=-40.938400, z=0.000000)",20.13471007347107,609,1,2,3.0883400703973574,0.05943421240542291,17.3865839834325,17.800039920928597
3,-13.591705944792281,"Location(x=-109.117790, y=-35.303219, z=-0.000196)","Location(x=-110.138954, y=-35.340401, z=0.000000)",8.486507415771484,256,1,1,9.718618504785146,0.04452729927922138,22.96885036153253,25.741184322530017
4,-46.552878124701834,"Location(x=-109.148735, y=-39.387951, z=0.001240)","Location(x=-110.152634, y=-39.407612, z=0.000000)",38.74728226661682,1173,1,1,1.7420368748051498,0.05468049622324338,18.915700462879613,9.705936035425422
5,-60.97971607253314,"Location(x=-113.059486, y=-60.127254, z=0.001483)","Location(x=-112.177788, y=-60.162735, z=0.000000)",12.701597213745117,384,1,1,2.5232345293129703,0.1206004575172359,8.968388971872628,9.11823263168335
6,-62.59500865732093,"Location(x=-113.108932, y=-60.664150, z=0.001298)","Location(x=-112.238907, y=-60.714100, z=0.000000)",17.26126217842102,522,1,1,1.7407193652226949,0.12899741442393162,8.431565710576251,8.960154819488526
7,-60.863539637284745,"Location(x=-109.185211, y=-41.386074, z=0.001420)","Location(x=-110.203056, y=-41.376442, z=0.000000)",22.44225811958313,679,1,1,2.6864384725166452,0.06155879025517895,16.93879146227846,8.856773471832275
8,-61.71841621228065,"Location(x=-113.108994, y=-60.545063, z=0.001293)","Location(x=-112.225891, y=-60.592888, z=0.000000)",18.668394804000854,563,1,1,1.6357612580572982,0.12698172731941754,8.565678304061294,8.93254737854004
9,-62.890800299247175,"Location(x=-109.152657, y=-40.264145, z=0.001248)","Location(x=-110.170738, y=-40.270729, z=0.000000)",38.218652963638306,1157,1,1,1.6892085264935026,0.0576447727072112,18.059124688850716,8.887487983703613
