episode,reward,vehicle_location,waypoint,duration,timesteps,collisions,lane_invasions,avg_speed,waypoint_similarity,total_distance,max_speed,hard_brakes
4,-23.505491816697486,"Location(x=-109.653038, y=-48.050457, z=0.001787)","Location(x=-110.611595, y=-47.997452, z=0.000000)",8.199175357818604,96,1,1,11.488417569107062,0.1023026421662731,10.150817988673225,19.779056811488186,0
7,-4.881894647328135,"Location(x=-109.175468, y=-28.010979, z=0.001761)","Location(x=-110.192284, y=-28.050564, z=0.000000)",18.92325448989868,222,1,2,14.694156588325194,0.03362706317599109,30.11914103745221,26.55401902885479,0
8,-31.672265706207064,"Location(x=-113.236504, y=-63.689751, z=0.001702)","Location(x=-112.497238, y=-63.717953, z=0.000000)",6.008288621902466,72,1,1,8.062445497976872,0.20330264628598618,5.324174344103085,18.34462267312517,0
10,-13.033073472738858,"Location(x=-109.343719, y=-42.042271, z=0.001795)","Location(x=-110.226860, y=-42.026878, z=0.000000)",10.626473426818848,123,1,1,14.266052158314126,0.06332846070231438,16.180203487572726,26.057098048054748,0
11,-25.67974519703757,"Location(x=-113.044640, y=-59.870319, z=0.001701)","Location(x=-112.157722, y=-59.990948, z=0.000000)",8.099600076675415,98,1,1,10.090443849240756,0.11545691356670328,9.101557447575033,17.379572760090788,0
12,-27.833296885613017,"Location(x=-113.127777, y=-61.072937, z=0.001748)","Location(x=-112.281952, y=-61.132324, z=0.000000)",7.922702312469482,96,1,1,8.960027813319906,0.13450725564553456,7.914798507728847,16.226987048381016,0
13,-19.728328808713044,"Location(x=-109.907990, y=-47.807621, z=0.001780)","Location(x=-110.592621, y=-47.783657, z=0.000000)",11.233022212982178,136,1,3,17.1316566379627,0.04775803754516727,21.487081834115088,28.60639066202098,0
14,-11.82831298265608,"Location(x=-109.641640, y=-41.558041, z=0.001737)","Location(x=-110.209358, y=-41.558437, z=0.000000)",10.917895793914795,131,1,1,13.844616088854085,0.06172391173512261,16.688594583320082,29.642397702631555,0
15,-20.140870198246592,"Location(x=-109.490799, y=-45.908619, z=0.001813)","Location(x=-110.439430, y=-45.861511, z=0.000000)",8.826434135437012,106,1,1,12.640012836602384,0.08389391200960677,12.305674285831628,24.90449025821492,0
16,-13.411536345123935,"Location(x=-109.249557, y=-40.757923, z=0.001818)","Location(x=-110.183769, y=-40.759701, z=0.000000)",12.037524223327637,144,1,1,13.113736042249412,0.05873229314117699,17.41743491156376,22.11630237519807,0
17,-17.042759795735115,"Location(x=-109.073105, y=-41.820889, z=0.001830)","Location(x=-110.218208, y=-41.801426, z=0.000000)",11.949075937271118,136,1,2,13.139064164478768,0.062461954251250895,16.42213012598222,21.345636163923917,0
18,-24.334265558284258,"Location(x=-112.863106, y=-59.090496, z=0.001812)","Location(x=-112.056099, y=-59.176937, z=0.000000)",8.987236738204956,107,1,1,10.059712324362765,0.10639852678720693,9.901749193086289,19.566210273518102,0
19,-28.20379127993121,"Location(x=-113.104164, y=-61.743778, z=0.001768)","Location(x=-112.345970, y=-61.813644, z=0.000000)",7.212145805358887,87,1,1,9.106982813993264,0.14676952239543026,7.277357831597328,16.78454617751587,0
20,-10.259020845853295,"Location(x=-109.154213, y=-37.584080, z=0.001723)","Location(x=-110.134415, y=-37.604298, z=0.000000)",13.208551406860352,160,1,1,13.945910166411451,0.049589510315366896,20.586402133427327,22.89959481890269,0
