episode,reward,vehicle_location,waypoint,duration,timesteps,collisions,lane_invasions,avg_speed,waypoint_similarity,total_distance,max_speed,hard_brakes
0,-20.08866000444833,"Location(x=-113.079041, y=-60.722858, z=0.001786)","Location(x=-112.244904, y=-60.770798, z=0.000000)",3.1396071910858154,92,1,1,9.65609828264053,0.12741118908866642,8.181319109717151,19.276417130784573,0
1,-20.83525499173088,"Location(x=-113.179909, y=-61.231853, z=0.001666)","Location(x=-112.298363, y=-61.299583, z=0.000000)",3.0239248275756836,90,1,1,9.359039682631428,0.1366377767488395,7.750490378704853,17.309468717696163,0
2,-13.495386033001134,"Location(x=-109.082939, y=-34.465405, z=0.001851)","Location(x=-110.144569, y=-34.504974, z=0.000000)",6.295239686965942,189,1,2,13.561088166662593,0.042910294598461775,23.659428975719493,25.163883016891702,0
3,-14.217118635380745,"Location(x=-111.217178, y=-34.325455, z=0.001685)","Location(x=-110.145683, y=-34.352547, z=0.000000)",17.325289726257324,195,1,2,13.20270095362751,0.042913265946399964,23.75152505270671,24.12506244297239,0
4,-34.685706995592106,"Location(x=-111.422920, y=-15.725822, z=0.001757)","Location(x=-110.283241, y=-15.752643, z=0.000000)",16.822158336639404,205,1,6,22.396449615701957,0.023845685792166244,42.38422269746661,30.540788234609288,0
5,-20.27528188669477,"Location(x=-113.171074, y=-61.417858, z=0.001821)","Location(x=-112.316338, y=-61.488235, z=0.000000)",7.024698972702026,85,1,1,9.668926828965208,0.1395074477705919,7.564433289517183,19.03189447937173,0
6,-21.872349008236636,"Location(x=-113.222237, y=-61.383476, z=0.001857)","Location(x=-112.313530, y=-61.458447, z=0.000000)",7.729201316833496,93,1,1,8.89151033736514,0.13924721165362605,7.60493298622896,18.46017169039624,0
7,-18.926509759189656,"Location(x=-109.563660, y=-46.891872, z=0.001829)","Location(x=-110.514832, y=-46.856472, z=0.000000)",9.73924994468689,118,1,1,10.403712956480057,0.09168714464919948,11.318551051313989,19.68408310172143,0
8,-21.192293156459442,"Location(x=-113.200844, y=-61.767597, z=0.001776)","Location(x=-112.348976, y=-61.847824, z=0.000000)",7.141054630279541,85,1,1,9.219714918465819,0.14632029289460224,7.211625473661115,19.441740943381305,0
9,-11.362526874985509,"Location(x=-109.133705, y=-33.328167, z=0.001866)","Location(x=-110.152954, y=-33.367764, z=0.000000)",15.933409452438354,185,1,2,14.52352192255075,0.041013302797074186,24.819512429414317,20.10660658745952,0
10,-9.72001287324916,"Location(x=-109.144402, y=-36.478069, z=0.001677)","Location(x=-110.133904, y=-36.508442, z=0.000000)",13.51439118385315,163,1,1,14.406413256702617,0.046939718492217335,21.65990452611004,27.383549319454104,0
11,-19.93116987004453,"Location(x=-112.890427, y=-57.451073, z=0.001718)","Location(x=-111.821800, y=-57.541512, z=0.000000)",9.171801567077637,112,1,2,11.177714743597294,0.08976925499909327,11.519337005913258,23.540365448890068,0
12,-21.641590772843934,"Location(x=-113.225342, y=-61.979816, z=0.001691)","Location(x=-112.367798, y=-62.065834, z=0.000000)",7.071277618408203,85,1,1,8.965161579529031,0.1515442216392338,7.004206665791571,17.36349673516546,0
13,-15.45246506319611,"Location(x=-112.909988, y=-58.745850, z=0.001697)","Location(x=-112.010178, y=-58.835274, z=0.000000)",7.465761423110962,91,1,1,12.181463246354511,0.101565230524389,10.19921888411045,22.03211074297803,0
