Episode,CPU Usage (%),Memory Usage (GB)
0,5.1,22.328323364257812
1,4.0,22.08163070678711
2,3.8,21.82665252685547
3,3.4,21.847030639648438
4,3.9,21.832870483398438
5,3.9,21.806293487548828
6,3.7,21.834068298339844
7,4.5,21.820636749267578
8,4.5,21.836063385009766
9,3.6,21.849239349365234
10,3.9,21.860984802246094
11,6.3,21.55527114868164
12,6.8,21.56511688232422
13,6.1,21.59359359741211
14,6.5,21.61693572998047
15,6.9,21.633007049560547
16,6.4,21.64032745361328
17,6.4,21.480533599853516
18,7.4,21.513912200927734
19,6.0,21.524593353271484
20,7.0,21.526859283447266
21,6.8,21.538719177246094
22,6.7,21.548641204833984
23,7.2,21.561206817626953
24,6.7,21.560970306396484
25,6.8,21.582042694091797
26,6.6,21.584754943847656
27,6.6,21.444595336914062
28,6.7,21.536128997802734
29,7.4,21.613285064697266
30,6.5,21.512073516845703
31,6.7,21.532894134521484
32,6.6,21.550559997558594
33,6.6,21.56839370727539
34,6.5,21.565044403076172
35,6.4,21.55440902709961
36,6.7,21.42023468017578
37,6.7,21.46805191040039
38,6.7,21.4818115234375
39,6.8,21.502059936523438
40,7.3,21.489116668701172
41,7.0,21.516128540039062
42,6.6,21.39468002319336
43,6.5,21.3974609375
44,7.1,21.412261962890625
45,7.1,21.423931121826172
46,7.0,21.43436050415039
47,7.4,21.44430160522461
48,6.8,21.448444366455078
49,7.1,21.45604705810547
50,6.8,21.468215942382812
51,6.8,21.48349380493164
52,6.9,21.498001098632812
53,7.2,21.493675231933594
54,6.7,21.504615783691406
55,6.7,21.372615814208984
56,7.3,21.378742218017578
57,6.8,21.39444351196289
58,6.9,21.404067993164062
59,6.8,21.418663024902344
60,6.1,21.431201934814453
61,7.3,21.234996795654297
62,6.9,21.291080474853516
63,7.0,21.279239654541016
64,6.9,21.277389526367188
65,6.6,21.270572662353516
66,7.2,21.278961181640625
67,7.5,21.172298431396484
68,6.7,21.180999755859375
69,6.8,21.191429138183594
70,7.1,21.203765869140625
71,7.0,21.231918334960938
72,7.0,21.245216369628906
73,6.8,21.245769500732422
74,7.1,21.257553100585938
75,6.9,21.25711441040039
76,6.8,21.270198822021484
77,6.7,21.282684326171875
78,7.3,21.291553497314453
79,7.1,21.312175750732422
80,7.6,21.351158142089844
81,6.9,21.35406494140625
82,7.3,21.361263275146484
83,7.0,21.254398345947266
84,6.9,21.231182098388672
85,6.9,21.226665496826172
86,7.5,21.24921417236328
87,6.9,21.26494598388672
88,7.0,21.28014373779297
89,6.8,21.292465209960938
90,7.0,21.312847137451172
91,7.2,21.32141876220703
92,7.1,21.340572357177734
93,7.2,21.35427474975586
94,7.2,21.36823272705078
95,6.9,21.386127471923828
96,6.9,21.26227569580078
97,6.8,21.258872985839844
98,6.8,21.265880584716797
99,7.1,21.280929565429688
100,7.2,21.301082611083984
101,6.7,21.307621002197266
102,7.0,21.328521728515625
103,7.2,21.339115142822266
104,6.6,21.356464385986328
105,6.6,21.359729766845703
106,7.1,21.365005493164062
107,6.8,21.377845764160156
108,7.2,21.086807250976562
109,7.0,21.092716217041016
110,6.9,21.10395050048828
111,7.4,21.39133071899414
112,7.6,21.233898162841797
113,6.7,21.244361877441406
114,6.9,21.256927490234375
115,6.6,21.270275115966797
116,6.7,21.277324676513672
117,7.0,21.290729522705078
118,7.0,21.300968170166016
119,6.3,21.308055877685547
120,7.2,21.321765899658203
121,6.6,21.33782958984375
122,6.8,21.220882415771484
123,5.9,21.235584259033203
124,5.9,21.250003814697266
125,6.2,21.253684997558594
126,6.2,21.2701416015625
127,6.0,21.286720275878906
128,5.9,21.301795959472656
129,6.2,21.305461883544922
130,5.9,21.318931579589844
131,6.1,21.333454132080078
132,6.7,21.343952178955078
133,6.5,21.362152099609375
134,6.5,21.24599838256836
135,6.9,21.254779815673828
136,6.3,21.272708892822266
137,6.8,21.340808868408203
138,7.0,21.364368438720703
139,6.6,21.376590728759766
140,6.2,21.391151428222656
141,6.5,21.38836669921875
142,6.6,21.401840209960938
143,6.3,21.41788101196289
144,6.4,21.420307159423828
145,6.6,21.433258056640625
146,6.7,21.445819854736328
147,6.3,21.457904815673828
148,6.5,21.331966400146484
149,7.2,21.34661102294922
150,6.7,21.355140686035156
151,6.4,21.37059783935547
152,6.6,21.381969451904297
153,6.1,21.396724700927734
154,6.5,21.40899658203125
155,6.3,21.424514770507812
156,6.3,21.43793487548828
157,6.5,21.186080932617188
158,6.9,21.231246948242188
159,6.3,21.221492767333984
160,6.9,21.2396240234375
161,6.4,21.252403259277344
162,6.1,21.1253662109375
163,6.3,21.139476776123047
164,6.7,21.146522521972656
165,6.2,21.164005279541016
166,6.4,21.17218017578125
167,6.1,21.180599212646484
168,6.8,21.20172882080078
169,6.5,21.21738052368164
170,6.8,21.235633850097656
171,6.8,21.240577697753906
172,6.5,21.30206298828125
173,6.9,21.32270050048828
174,6.6,21.33716583251953
175,6.7,21.23965072631836
176,6.5,21.21601104736328
177,7.0,21.235557556152344
178,6.7,21.24852752685547
179,6.2,21.258838653564453
180,6.7,21.278663635253906
181,6.7,21.27569580078125
182,6.6,21.289676666259766
183,6.3,21.30279541015625
184,6.5,21.316909790039062
185,6.8,21.327144622802734
186,6.8,21.34091567993164
187,6.2,21.364360809326172
188,6.7,21.255226135253906
189,6.6,21.254379272460938
190,6.5,21.274978637695312
191,6.3,21.29517364501953
192,6.4,21.306514739990234
193,6.5,21.317852020263672
194,6.3,21.33450698852539
195,6.4,21.347946166992188
196,6.3,21.363407135009766
197,6.6,21.3758544921875
198,6.4,21.387939453125
199,6.7,21.410099029541016
200,6.7,21.438175201416016
201,6.3,21.298812866210938
202,6.5,21.31451416015625
203,6.8,21.34217071533203
204,6.8,21.353473663330078
205,6.6,21.369197845458984
