episode,reward,vehicle_location,waypoint,duration,timesteps,collisions,lane_invasions,avg_speed,total_distance,max_speed
0,-4.9421114763062075,"Location(x=-113.076210, y=-59.947842, z=-0.000026)","Location(x=-112.163170, y=-60.037186, z=0.000000)",3.338442802429199,97,1,1,10.226297287660048,232.94130410254002,21.388525959201353
1,-4.949352049094181,"Location(x=-112.868034, y=-58.542152, z=0.000706)","Location(x=-111.980797, y=-58.623787, z=0.000000)",3.4815011024475098,103,1,1,11.075909522863492,291.2469136416912,22.047805210496303
2,-5.0767023332552546,"Location(x=-109.108818, y=-37.121723, z=0.001681)","Location(x=-110.133430, y=-37.146885, z=0.000000)",5.488365411758423,164,1,1,13.982774673882087,1216.962136656046,22.311787414865616
3,-5.04057102008141,"Location(x=-109.182213, y=-30.820210, z=0.001332)","Location(x=-110.171509, y=-30.859631, z=0.000000)",6.677593469619751,200,1,1,14.77373920892871,2040.9282584786415,22.27100753702391
4,-4.967204869141115,"Location(x=-109.262627, y=-40.450420, z=0.001864)","Location(x=-110.175468, y=-40.457237, z=0.000000)",4.859451532363892,145,1,1,13.336157822241631,855.0319277197123,21.481822999080585
5,-4.865989313288163,"Location(x=-113.182213, y=-62.214745, z=0.002805)","Location(x=-112.380547, y=-62.217457, z=0.000000)",2.847372055053711,84,1,1,8.93060906160873,137.67646653950214,21.238802364434
6,-4.98527635666228,"Location(x=-113.023468, y=-59.405903, z=0.000131)","Location(x=-112.100014, y=-59.518097, z=0.000000)",3.341231346130371,99,1,1,10.615838420805936,255.14309513568878,21.66945915998359
7,-5.194884301170756,"Location(x=-111.360222, y=-27.164780, z=0.000585)","Location(x=-110.198639, y=-27.191460, z=0.000000)",7.233631372451782,217,1,4,15.458098136748786,2574.5817251205444,21.537776355588264
8,-4.881004853667337,"Location(x=-113.069077, y=-60.729935, z=0.001018)","Location(x=-112.245552, y=-60.776985, z=0.000000)",3.109693765640259,92,1,1,9.876483260022693,195.0763371437788,20.920229490836075
9,-5.033935876207482,"Location(x=-109.239067, y=-22.829493, z=0.001285)","Location(x=-110.230606, y=-22.868935, z=0.000000)",8.032687187194824,241,1,1,15.919827706402689,3357.241320848465,22.622090718689527
10,-4.965410120193695,"Location(x=-109.253578, y=-30.927902, z=0.001021)","Location(x=-110.170715, y=-30.966894, z=0.000000)",6.546891212463379,196,1,1,15.053941791195214,1992.3414700776339,20.638164881930287
11,-4.911331406357334,"Location(x=-113.072357, y=-60.352547, z=0.001538)","Location(x=-112.203941, y=-60.393223, z=0.000000)",4.7928619384765625,94,1,1,10.098927340450908,210.40859906375408,21.41403077853969
12,-4.972520249217221,"Location(x=-113.210396, y=-61.167858, z=0.001037)","Location(x=-112.292320, y=-61.237507, z=0.000000)",4.164659738540649,90,1,1,9.592063794416209,180.41572998464108,22.375563774073566
13,-4.969106625443742,"Location(x=-112.841103, y=-58.232479, z=0.000984)","Location(x=-111.935692, y=-58.308632, z=0.000000)",4.908036947250366,105,1,1,11.214340901425205,310.6204974800348,22.068687373962597
14,-5.028343980906954,"Location(x=-109.264702, y=-42.306396, z=0.001267)","Location(x=-110.237274, y=-42.284679, z=0.000000)",6.537035226821899,134,1,1,12.93146243357889,683.0401433706284,21.944692487180475
15,-4.912422482719825,"Location(x=-110.007484, y=-50.285652, z=0.001309)","Location(x=-110.830978, y=-50.212593, z=0.000000)",5.231984615325928,91,1,1,9.57822180213971,186.2847608923912,21.703614937727625
16,-4.99779076568887,"Location(x=-109.748611, y=-49.094681, z=0.000697)","Location(x=-110.708313, y=-49.026352, z=0.000000)",5.0982701778411865,98,1,1,10.241314636872337,243.5262598991394,21.461093060019888
17,-4.921148654587204,"Location(x=-109.863594, y=-49.254990, z=0.000421)","Location(x=-110.724869, y=-49.193489, z=0.000000)",4.755009651184082,96,1,1,10.25796366709117,228.2796954959631,21.333275068785575
18,-4.983613928149862,"Location(x=-113.090828, y=-59.652138, z=0.000894)","Location(x=-112.132011, y=-59.776558, z=0.000000)",4.644870042800903,98,1,1,10.46138823509047,244.28612591326237,21.149257838580088
19,-5.078826059886608,"Location(x=-112.661461, y=-56.108456, z=0.001777)","Location(x=-111.628670, y=-56.251171, z=0.000000)",5.508276700973511,117,1,2,11.999339684346083,449.1926390975714,22.277977826808975
20,-4.987804780594768,"Location(x=-109.232697, y=-28.618801, z=0.001258)","Location(x=-110.187790, y=-28.658020, z=0.000000)",9.955357789993286,210,1,1,15.177596540884974,2361.6762678176165,22.60487355841091
21,-5.148439214972415,"Location(x=-109.066872, y=-29.093502, z=0.001306)","Location(x=-110.184273, y=-29.133684, z=0.000000)",9.967676162719727,209,1,2,15.098827508044648,2307.048422843218,21.925853126816442
22,-4.900171774924419,"Location(x=-113.177773, y=-61.819668, z=0.000814)","Location(x=-112.353409, y=-61.898449, z=0.000000)",4.052096605300903,86,1,1,9.21341687012357,150.74078741669655,20.6531487607685
23,-4.844346512627708,"Location(x=-113.161179, y=-62.298290, z=0.003248)","Location(x=-112.387398, y=-62.300255, z=0.000000)",3.9036614894866943,83,1,1,8.931917685404633,134.09895130991936,21.365281160931232
24,-4.832522998911038,"Location(x=-113.193932, y=-62.945389, z=0.002712)","Location(x=-112.439911, y=-62.950336, z=0.000000)",3.766859769821167,80,1,1,8.417057884097215,113.39806565642357,21.14626751473439
25,-5.085429416306649,"Location(x=-112.019119, y=-51.606678, z=0.000872)","Location(x=-111.012978, y=-51.792553, z=0.000000)",6.783499717712402,144,1,1,13.17499660997613,832.9212468415499,21.837512914714207
26,-4.892483859161336,"Location(x=-113.062607, y=-60.604828, z=0.000473)","Location(x=-112.231941, y=-60.648964, z=0.000000)",4.392155170440674,93,1,1,9.908009856022167,203.0342479944229,21.325865008850922
27,-5.062034264200585,"Location(x=-109.128632, y=-34.954834, z=0.001545)","Location(x=-110.141151, y=-34.993122, z=0.000000)",8.278666257858276,175,1,1,14.402656721845897,1455.540827691555,21.075525466768905
28,-4.927879379444681,"Location(x=-109.869774, y=-49.692261, z=-0.000377)","Location(x=-110.768295, y=-49.620907, z=0.000000)",4.402040719985962,93,1,1,10.078270238654001,202.07419310510159,22.24914794519485
29,-4.909213170585687,"Location(x=-113.152725, y=-61.269382, z=0.001131)","Location(x=-112.301781, y=-61.335037, z=0.000000)",4.1830503940582275,89,1,1,9.581454601652414,173.5029243528843,20.378131426602422
30,-5.039801738056523,"Location(x=-109.269287, y=-43.206421, z=0.000910)","Location(x=-110.278519, y=-43.194870, z=0.000000)",5.888797760009766,129,1,1,12.674931497976072,607.8768429756165,20.63240285953826
31,-4.877087657500301,"Location(x=-113.106079, y=-61.209946, z=0.001505)","Location(x=-112.295456, y=-61.269684, z=0.000000)",4.032788991928101,90,1,1,9.522146439737847,177.38975322246552,21.218005459630945
32,-5.021785430015421,"Location(x=-111.110115, y=-39.182156, z=0.001401)","Location(x=-110.150154, y=-39.259399, z=0.000000)",6.8966028690338135,151,1,1,13.736762946317723,969.2691191136837,22.46107562476998
33,-4.816047098594896,"Location(x=-113.208092, y=-62.999233, z=0.001919)","Location(x=-112.444305, y=-63.005405, z=0.000000)",3.5451111793518066,79,1,1,8.441291062810405,109.9200234413147,20.93052110458754
34,-4.811384738834828,"Location(x=-113.193825, y=-63.263397, z=0.001297)","Location(x=-112.465210, y=-63.272175, z=0.000000)",3.5019493103027344,78,1,1,8.183337264206497,101.53587764501572,21.26600140855077
35,-4.839672226392147,"Location(x=-113.190620, y=-62.147171, z=0.002779)","Location(x=-112.374886, y=-62.149712, z=0.000000)",3.713439702987671,84,1,1,8.881601208724272,132.88317881524563,21.236379072415755
36,-4.971935757782471,"Location(x=-111.117401, y=-25.224077, z=0.001335)","Location(x=-110.212982, y=-25.252283, z=0.000000)",10.326110601425171,228,1,5,15.647430892512496,2925.7717637121677,22.182955048083535
37,-4.940760337501429,"Location(x=-109.625114, y=-46.597469, z=0.001689)","Location(x=-110.490356, y=-46.545345, z=0.000000)",4.992603778839111,110,1,1,11.542534147858676,362.9014447182417,21.942897530578083
38,-4.898506602092667,"Location(x=-113.081459, y=-60.349197, z=0.000820)","Location(x=-112.203667, y=-60.390751, z=0.000000)",4.227576971054077,95,1,1,9.9983269295038,214.21510460972786,21.363509467855202
39,-5.0013139854679975,"Location(x=-109.203094, y=-38.252205, z=0.000691)","Location(x=-110.138184, y=-38.264221, z=0.000000)",7.216093301773071,159,1,1,13.645725931587494,1110.9867368340492,22.388402464893698
40,-4.961424939291483,"Location(x=-112.816353, y=-58.035835, z=0.001057)","Location(x=-111.906456, y=-58.108921, z=0.000000)",4.8077919483184814,107,1,1,11.221169164511299,329.57449962198734,20.39609139045536
41,-4.973769893278788,"Location(x=-109.894447, y=-50.017670, z=0.000959)","Location(x=-110.801804, y=-49.940731, z=0.000000)",4.186662435531616,92,1,1,9.832413721441073,196.75088813900948,22.06759849981828
42,-4.9975520116888585,"Location(x=-109.185577, y=-37.092598, z=0.001359)","Location(x=-110.133408, y=-37.117577, z=0.000000)",7.512704372406006,166,1,1,13.812294776154072,1244.9404883682728,22.51142337808585
43,-4.933557786537406,"Location(x=-112.997147, y=-59.813202, z=-0.000153)","Location(x=-112.150078, y=-59.926525, z=0.000000)",4.345244646072388,97,1,1,10.376804574837962,234.49914628267288,21.91023869489076
44,-4.821998491449098,"Location(x=-112.994667, y=-60.814289, z=0.000733)","Location(x=-112.253746, y=-60.855240, z=0.000000)",4.216834306716919,93,1,1,9.670252317968412,198.79142040014267,21.576623249860916
45,-4.8742956216171835,"Location(x=-113.079834, y=-61.030781, z=0.001173)","Location(x=-112.277168, y=-61.084457, z=0.000000)",4.08413028717041,91,1,1,9.612843742015414,184.80252124369144,21.466215893277322
46,-5.010680243510217,"Location(x=-109.337715, y=-43.679104, z=0.001227)","Location(x=-110.302452, y=-43.663372, z=0.000000)",5.853198289871216,129,1,1,12.29690681793541,599.9757407456636,21.90101653996068
47,-4.914705539010791,"Location(x=-109.384254, y=-41.987030, z=0.000951)","Location(x=-110.224770, y=-41.973625, z=0.000000)",6.326555252075195,138,1,1,12.801792223518436,733.162614762783,22.29670004965829
48,-5.055013975280902,"Location(x=-109.142563, y=-36.054970, z=0.001584)","Location(x=-110.135193, y=-36.088234, z=0.000000)",7.744347095489502,168,1,1,14.257686960922106,1304.9666152894497,22.474677237734277
49,-4.991254050355431,"Location(x=-109.247841, y=-40.606270, z=0.001315)","Location(x=-110.179573, y=-40.610310, z=0.000000)",9.32732081413269,203,1,3,15.228998328957372,2189.662716343999,22.411859924638396
50,-5.1227879179916345,"Location(x=-109.216591, y=-13.545134, z=0.001712)","Location(x=-110.299271, y=-13.585126, z=0.000000)",16.279673099517822,353,1,8,17.04069348151124,8387.18510711193,20.492717430938228
51,-5.024676713801093,"Location(x=-112.652924, y=-56.508987, z=0.003182)","Location(x=-111.686890, y=-56.641411, z=0.000000)",5.185257434844971,115,1,1,11.846792895276058,421.8287339657545,21.995447642197604
52,-5.024617798744188,"Location(x=-111.360435, y=-1.751688, z=0.001370)","Location(x=-110.386589, y=-1.779506, z=0.000000)",16.812934637069702,361,1,5,16.94803501237488,8684.112712398171,22.350076495939316
53,-4.919652893095857,"Location(x=-113.130806, y=-60.926331, z=0.000562)","Location(x=-112.266930, y=-60.983303, z=0.000000)",4.08962345123291,91,1,1,9.778876230731456,185.78083708882332,21.277642731747168
54,-4.856825365675189,"Location(x=-113.037704, y=-60.650604, z=0.000987)","Location(x=-112.236656, y=-60.693005, z=0.000000)",4.174941062927246,93,1,1,9.862941561537642,202.56186105310917,21.409335736097223
55,-4.968388067427263,"Location(x=-112.923813, y=-58.728405, z=0.001073)","Location(x=-112.008018, y=-58.819576, z=0.000000)",4.633629322052002,103,1,1,10.892031145647831,292.5611972808838,20.770015836888952
56,-5.055390444550631,"Location(x=-112.724205, y=-56.692478, z=0.004896)","Location(x=-111.715164, y=-56.830341, z=0.000000)",5.1669604778289795,114,1,1,11.775536463297179,409.6044052094221,22.510631598698083
57,-5.034338326377576,"Location(x=-109.158569, y=-35.717995, z=0.001056)","Location(x=-110.136681, y=-35.753063, z=0.000000)",7.870851039886475,174,1,1,14.01674335170434,1411.8877546489239,22.045439623689568
58,-4.996629923852502,"Location(x=-109.205849, y=-38.307808, z=0.001513)","Location(x=-110.138641, y=-38.319088, z=0.000000)",7.160224676132202,156,1,1,13.845367686769123,1063.8833800405264,21.154575490803186
59,-4.981119473444094,"Location(x=-113.026413, y=-59.489994, z=0.000546)","Location(x=-112.110718, y=-59.603558, z=0.000000)",4.5610878467559814,99,1,1,10.516202064253738,255.18310835957527,21.179789150283057
60,-4.8936166171451365,"Location(x=-113.115555, y=-60.998474, z=0.001291)","Location(x=-112.274223, y=-61.055218, z=0.000000)",4.102076053619385,91,1,1,9.653132237744646,187.23664125800133,21.162586395353223
61,-4.98616821932897,"Location(x=-109.281677, y=-25.722769, z=0.001349)","Location(x=-110.209213, y=-25.761829, z=0.000000)",10.333683013916016,225,1,5,15.65423095281905,2837.2160824090242,22.395064703901575
62,-4.994064769026197,"Location(x=-112.648087, y=-56.656040, z=0.001042)","Location(x=-111.708305, y=-56.784569, z=0.000000)",5.213738679885864,114,1,1,11.801406604986365,411.44253501296043,20.6612754249815
63,-5.148854782113757,"Location(x=-109.038017, y=-39.276943, z=0.001391)","Location(x=-110.150726, y=-39.295189, z=0.000000)",6.946489572525024,151,1,2,13.590640313834855,959.0099247395992,22.51097747164998
64,-5.125237554148413,"Location(x=-109.051392, y=-38.090706, z=0.001293)","Location(x=-110.137016, y=-38.105648, z=0.000000)",7.338338851928711,161,1,2,13.577449078245554,1132.3259922713041,22.65715244197311
65,-4.935974434222438,"Location(x=-109.958130, y=-50.258293, z=0.001363)","Location(x=-110.827591, y=-50.181355, z=0.000000)",4.06419563293457,91,1,1,9.622697797940914,187.95186164975166,22.320221862426866
66,-5.177523882737437,"Location(x=-111.477280, y=-44.141392, z=0.000705)","Location(x=-110.334816, y=-44.246223, z=0.000000)",5.491600036621094,122,1,2,12.395554924246898,513.5174873024225,22.187842851058168
67,-4.953525977659764,"Location(x=-112.973366, y=-59.229992, z=0.000630)","Location(x=-112.076454, y=-59.333260, z=0.000000)",4.490823030471802,100,1,1,10.680243287004668,262.8048923909664,21.18220450814106
68,-4.908564017467678,"Location(x=-113.092804, y=-60.775959, z=0.001123)","Location(x=-112.250732, y=-60.826279, z=0.000000)",4.099457502365112,92,1,1,9.823101667233042,195.95156444609165,21.240219318778863
69,-5.08654777801781,"Location(x=-110.597527, y=-56.511127, z=-0.000514)","Location(x=-111.646393, y=-56.370182, z=0.000000)",5.279338598251343,117,1,3,11.819723502406221,439.50698225200176,21.90016165189878
70,-5.137310053108838,"Location(x=-112.547401, y=-54.890034, z=0.000671)","Location(x=-111.451660, y=-55.048065, z=0.000000)",5.571179628372192,123,1,2,12.541988029659615,531.0042715072632,22.431570936661153
71,-5.018679415338261,"Location(x=-109.166901, y=-35.442326, z=0.001664)","Location(x=-110.138138, y=-35.478649, z=0.000000)",7.984613418579102,173,1,1,14.233051278687755,1405.2944610118866,22.375154511367004
72,-5.145722651670063,"Location(x=-111.323921, y=-41.245422, z=0.001385)","Location(x=-110.200409, y=-41.297367, z=0.000000)",6.549260377883911,139,1,2,13.148587841888986,763.7203861027956,21.69873190367886
73,-4.873472456929146,"Location(x=-113.039520, y=-60.190594, z=-0.000467)","Location(x=-112.184944, y=-60.225113, z=0.000000)",4.3683226108551025,95,1,1,10.176148927655705,217.9469912648201,22.10048881214924
74,-5.253446415017866,"Location(x=-111.391472, y=-40.008400, z=0.000815)","Location(x=-110.166222, y=-40.081051, z=0.000000)",6.763653039932251,146,1,2,13.434577118579115,875.117095887661,21.168874782494154
