episode,reward,vehicle_location,waypoint,duration,timesteps,collisions,lane_invasions,avg_speed,total_distance,max_speed
0,-9.687380721442626,"Location(x=2.780427, y=-213.587463, z=0.120900)","Location(x=2.638535, y=-207.941177, z=0.000000)",12.63137173652649,345,1,2,16.82003993718572,7919.1047714576125,22.262021021517224
1,-9.480965454786418,"Location(x=17.991894, y=-188.044952, z=0.078279)","Location(x=15.280956, y=-192.334473, z=0.000000)",14.29989242553711,353,1,2,16.875136484177116,8388.62483621575,22.106415486464176
2,-20.16339081896127,"Location(x=168.720306, y=-121.078796, z=8.148729)","Location(x=153.789047, y=-121.338493, z=8.000000)",16.257930040359497,470,1,8,17.549321140299636,16006.733441848308,22.258825418212595
3,-10.927539074092994,"Location(x=14.881489, y=-126.315117, z=0.060205)","Location(x=9.674652, y=-126.867828, z=0.000000)",21.831139087677002,412,1,8,17.274918555550354,11940.89956253022,21.69341726264678
4,-8.252015743102692,"Location(x=-8.373802, y=-13.715069, z=0.094606)","Location(x=-10.290266, y=-16.882324, z=0.000000)",8.879440784454346,211,1,0,14.751803097318202,2341.0164912827313,22.008762227976465
5,-7.529513567419103,"Location(x=187.625320, y=2.307947, z=0.151018)","Location(x=187.572830, y=5.822202, z=0.000000)",8.71943974494934,260,1,4,15.974675084700182,4050.58847232908,22.21493412336211
6,-11.223942116475383,"Location(x=33.850193, y=-187.781418, z=0.120477)","Location(x=33.985081, y=-193.149033, z=0.000000)",20.42230486869812,474,1,16,17.595730228063495,16323.114815577865,21.871064574227557
7,-7.440383378032937,"Location(x=239.474686, y=-29.990362, z=0.001266)","Location(x=242.848358, y=-29.908318, z=0.000000)",6.368271589279175,163,1,3,13.491229264194239,1176.7654389049858,22.39071904256178
8,-12.982674613030344,"Location(x=-85.974022, y=-200.733185, z=0.165328)","Location(x=-79.722702, y=-195.398727, z=0.000000)",30.852447986602783,841,1,39,18.493486832043526,56682.81601731107,22.131039632328136
9,-17.1285365608097,"Location(x=-152.264954, y=-125.329941, z=0.950060)","Location(x=-141.472198, y=-118.552994, z=0.857741)",29.230392456054688,837,1,31,18.367197380092865,55849.729967754334,22.202756800333844
10,-6.399756605701382,"Location(x=184.423370, y=0.173645, z=0.078660)","Location(x=184.459198, y=-2.225200, z=0.000000)",12.449268102645874,216,1,3,15.102256652576985,2509.869142588228,21.93163646114651
11,-14.973847140229559,"Location(x=158.576996, y=184.042145, z=2.685625)","Location(x=159.213455, y=193.012543, z=2.630054)",48.573458433151245,907,1,30,18.49489741936591,66411.11240972206,21.990859477439972
12,-8.752470426870596,"Location(x=-16.154264, y=-22.525375, z=0.106957)","Location(x=-13.280895, y=-19.261921, z=0.000000)",26.845756769180298,426,1,0,17.333436824738435,12778.589529894292,22.01461838262415
13,-13.960782228829371,"Location(x=64.630173, y=41.491741, z=0.145281)","Location(x=69.498062, y=49.705837, z=0.000000)",60.40036964416504,839,1,19,18.395981371450187,55979.550629898906,22.228375523653185
14,-9.299477593524397,"Location(x=-2.764421, y=119.715927, z=0.138797)","Location(x=-6.085305, y=119.769783, z=0.000000)",27.362343311309814,367,1,0,17.006885511892175,9160.032067131251,22.215769389330134
15,-6.395276223499675,"Location(x=156.649689, y=-1.461923, z=0.027251)","Location(x=156.667297, y=-2.640345, z=0.008596)",44.96757984161377,740,1,8,18.430335990495227,43063.88180794194,22.64872441062627
16,-6.7247714435772075,"Location(x=8.316662, y=161.715851, z=0.001375)","Location(x=5.680445, y=161.732529, z=0.000000)",14.47047758102417,176,1,0,14.346312195830025,1494.271939991042,22.139964346685975
17,-9.070065456722165,"Location(x=96.008560, y=12.318387, z=0.068996)","Location(x=96.073730, y=7.955817, z=0.132143)",32.513925075531006,543,1,19,17.62393549927277,21422.87673729658,22.052204521736112
18,-13.779945043654488,"Location(x=98.504791, y=-181.817383, z=0.231155)","Location(x=98.748665, y=-191.521515, z=0.000000)",24.305578470230103,412,1,8,17.291434439977845,11959.671793915331,22.467438469440328
19,-11.024190400744642,"Location(x=147.781113, y=51.985130, z=0.137345)","Location(x=147.799026, y=58.946774, z=0.000000)",28.14081573486328,365,1,4,16.984317101637295,9128.073279194534,22.374711057134395
20,-7.199762818925025,"Location(x=107.578110, y=-0.172830, z=0.118187)","Location(x=107.625923, y=-3.372904, z=0.127408)",19.54712224006653,266,1,2,15.903554828636238,4221.627359282225,21.92376894519082
21,-7.779316752085575,"Location(x=196.691406, y=2.202160, z=0.154228)","Location(x=196.635300, y=5.957574, z=0.000000)",14.601462125778198,272,1,6,15.98885629035741,4493.592200290412,22.389944932535016
22,-12.544813471755326,"Location(x=-65.794151, y=46.517914, z=0.626612)","Location(x=-74.238014, y=46.540939, z=0.483423)",24.012425661087036,354,1,4,16.675904294006124,8270.797990236431,22.083061834419624
23,-8.7764697481836,"Location(x=11.085755, y=-9.546315, z=0.132808)","Location(x=14.441803, y=-12.547665, z=0.000000)",36.69415640830994,542,1,4,17.60858512531565,21616.44557069242,22.29429601851151
24,-10.810715148976165,"Location(x=161.314438, y=-186.496674, z=0.074133)","Location(x=155.844528, y=-189.364960, z=-0.080876)",12.996997356414795,234,1,0,15.285398823689382,3058.155474770814,22.330156487258684
25,-7.750530047283137,"Location(x=73.369698, y=-0.209642, z=0.139729)","Location(x=73.424576, y=-3.883790, z=0.080909)",50.04396986961365,673,1,16,18.107135399997986,35413.32656959817,22.600593885511756
26,-9.178892670677536,"Location(x=136.874023, y=-185.430206, z=0.077117)","Location(x=137.002945, y=-190.560181, z=0.000000)",27.981897592544556,510,1,6,17.748677714566718,19265.145088318735,22.07829954859961
27,-9.801053175796511,"Location(x=4.156824, y=-212.772125, z=0.091089)","Location(x=4.034540, y=-207.906097, z=0.000000)",19.50247859954834,360,1,0,16.939230156732187,8733.297828707844,22.075851442320136
28,-14.175531396093715,"Location(x=-20.256527, y=32.512661, z=0.163468)","Location(x=-10.934092, y=31.192022, z=0.000000)",39.90481972694397,610,1,6,18.064813453324753,27823.74669831246,22.29723868033519
29,-13.875811217095764,"Location(x=73.543457, y=-215.986496, z=0.153389)","Location(x=73.296654, y=-206.165543, z=0.000000)",18.02683925628662,302,1,4,16.358103261356156,5740.734213437885,22.15322076423688
30,-7.35314616882646,"Location(x=-6.921885, y=-156.076309, z=0.000172)","Location(x=-3.632955, y=-155.995148, z=0.000000)",18.71809697151184,241,1,8,15.656061188285616,3330.7160461470485,22.09948237335755
31,-11.802440315709076,"Location(x=-155.889145, y=-1.333854, z=0.001430)","Location(x=-149.007553, y=-1.330267, z=0.000000)",32.576786279678345,604,1,3,18.062735285549067,28112.159193683416,22.25016265299166
32,-11.571659525120522,"Location(x=-155.803558, y=-0.266581, z=0.000862)","Location(x=-149.008118, y=-0.263039, z=0.000000)",21.816789865493774,383,1,4,17.113666671160566,10087.448337946087,20.681058638246814
33,-9.03338872743095,"Location(x=251.266388, y=-28.556845, z=0.082289)","Location(x=246.319458, y=-28.677162, z=0.000000)",12.71733546257019,216,1,2,14.992189482988,2511.6983085125685,21.532998689575304
34,-11.852878127808363,"Location(x=-17.413107, y=120.728477, z=0.153476)","Location(x=-9.579399, y=120.714188, z=0.000000)",18.86509346961975,332,1,4,16.797827443641406,7317.928721129894,22.03409131844773
35,-15.563520846519111,"Location(x=-64.683716, y=159.438232, z=0.152423)","Location(x=-74.493851, y=160.048111, z=0.000000)",42.7911012172699,810,1,19,18.417449533939237,51749.76251132041,22.402159643318992
36,-8.64086068066653,"Location(x=-11.740847, y=-33.608906, z=0.098776)","Location(x=-7.203756, y=-33.079742, z=0.000000)",20.745405435562134,308,1,4,16.430587845254347,6006.169711839408,21.81079921575622
37,-18.525658488048737,"Location(x=-61.107738, y=-152.609192, z=0.148240)","Location(x=-61.386692, y=-139.587433, z=0.000000)",25.68980622291565,462,1,10,17.78939293067008,15325.739658102393,22.241949110976375
38,-7.475557667632514,"Location(x=103.205757, y=-80.159744, z=8.107090)","Location(x=103.114136, y=-76.682388, z=8.000000)",16.301151514053345,228,1,4,15.380405382649522,2908.292819701135,21.25186794489313
39,-7.197304105629094,"Location(x=205.999619, y=3.022987, z=0.125850)","Location(x=205.953705, y=6.096768, z=0.000000)",17.756719827651978,326,1,7,16.500935962294207,6833.7166309431195,22.38903497760813
40,-9.269526946554322,"Location(x=223.248154, y=-9.418350, z=0.057145)","Location(x=223.184341, y=-5.147130, z=0.000000)",44.75098371505737,678,1,15,18.30719065358471,36136.56516933441,22.37662572954959
41,-12.742988606744056,"Location(x=-16.482992, y=-216.451096, z=0.164790)","Location(x=-16.674406, y=-208.426529, z=0.000000)",55.51968860626221,1008,1,32,18.581474538162446,82420.13971590623,22.092476728994626
42,-14.33571497326596,"Location(x=256.155396, y=-12.263955, z=0.153695)","Location(x=245.926331, y=-12.512733, z=0.000000)",47.363502740859985,774,1,5,18.308140685911102,47118.97722956166,22.240750416807465
43,-8.908846304189318,"Location(x=6.921895, y=14.087740, z=0.112819)","Location(x=8.946636, y=17.841227, z=0.000000)",13.097023010253906,196,1,0,14.811354575242316,1977.2901861667633,20.58255833081228
44,-15.396203078060442,"Location(x=81.189224, y=-216.162415, z=0.001398)","Location(x=80.933182, y=-205.973633, z=0.000000)",45.070820808410645,816,1,10,18.426684178183393,52864.076078124344,22.213278785438437
45,-9.767151352945035,"Location(x=-73.143372, y=-208.039566, z=0.079848)","Location(x=-70.643883, y=-203.657822, z=0.000000)",45.35030150413513,774,1,32,18.375663679786925,47038.95954597369,22.073337377223634
46,-19.18915981440668,"Location(x=-110.667007, y=112.992577, z=0.297010)","Location(x=-110.235809, y=132.963776, z=0.000000)",29.81232714653015,504,0,4,17.705500597272852,18674.614498812705,22.026884983316258
47,-10.066111667864908,"Location(x=77.105965, y=213.415680, z=0.934888)","Location(x=77.090797, y=207.338745, z=0.792377)",27.57866668701172,491,1,8,17.644232105643027,17823.598616916686,22.406548678788845
48,-16.14568069703391,"Location(x=256.150177, y=17.659197, z=0.151982)","Location(x=245.198975, y=17.392857, z=0.000000)",16.50468945503235,313,1,2,16.32075999708941,6178.221235699952,22.556374117169433
49,-20.38890613647888,"Location(x=-21.960640, y=227.480484, z=0.153953)","Location(x=-22.010281, y=207.586029, z=0.000000)",27.97726559638977,524,0,1,17.8075199266606,20325.899356167763,22.191725201433194
50,-21.958455390977974,"Location(x=-150.605286, y=142.066528, z=0.149014)","Location(x=-139.568024, y=130.017624, z=0.000000)",17.969184160232544,327,1,14,16.725003420336716,6965.249493263662,22.416019860331897
51,-9.21125921617402,"Location(x=-98.544533, y=4.165735, z=0.088215)","Location(x=-98.525040, y=0.376085, z=0.000000)",24.22149968147278,381,1,9,17.317429245353853,10021.967370770872,22.29643176872237
52,-13.809297005128725,"Location(x=-66.354004, y=162.555511, z=0.153515)","Location(x=-73.975845, y=164.173355, z=0.000000)",47.60440683364868,837,1,16,18.43315802496333,56311.81539576501,22.149972163023357
53,-19.618553550531484,"Location(x=-66.982620, y=222.528534, z=0.153633)","Location(x=-59.268883, y=204.077393, z=0.000000)",35.19305467605591,660,0,20,18.09206686690094,33387.00703369826,22.29514790453436
54,-8.036390189616824,"Location(x=-13.314721, y=-23.746840, z=0.085648)","Location(x=-10.877073, y=-21.938025, z=0.000000)",46.62686824798584,700,1,4,18.09548133160811,37328.357216373086,22.069533496860995
55,-20.4799183412359,"Location(x=-22.529415, y=222.569992, z=0.153718)","Location(x=-22.566797, y=207.587418, z=0.000000)",21.549105167388916,403,1,0,17.18978765048367,11264.543682269752,22.104839750228837
56,-10.29293086244934,"Location(x=-8.642756, y=-149.492630, z=0.079933)","Location(x=-3.796361, y=-149.373032, z=0.000000)",45.46239733695984,715,1,11,18.339801703295514,40015.41326666251,21.87483787241055
57,-8.873041459503147,"Location(x=-3.440734, y=-15.560163, z=0.087522)","Location(x=-4.226953, y=-19.200571, z=0.000000)",27.01083493232727,405,1,2,17.157284057762556,11340.0890458785,22.29820692662279
58,-19.484954966125784,"Location(x=-102.101234, y=-44.846024, z=-0.349467)","Location(x=-88.487404, y=-44.883160, z=-0.501376)",28.805988788604736,474,1,12,17.519710459486117,16167.778095778078,22.19396539967994
59,-10.033710338904054,"Location(x=-155.041443, y=39.951260, z=0.076950)","Location(x=-149.029068, y=39.954391, z=0.000000)",28.820344924926758,473,1,4,17.67186591517205,16231.342866919935,22.572703151671796
60,-15.684672915405661,"Location(x=257.160095, y=4.383392, z=0.153694)","Location(x=245.522278, y=4.100352, z=0.000000)",22.73250937461853,389,1,2,17.12461217204099,10443.826072223485,22.229974498853476
61,-12.370344919419171,"Location(x=73.208809, y=-144.145493, z=8.142338)","Location(x=73.210541, y=-136.703964, z=7.994495)",23.260765075683594,409,1,8,17.32520509239083,11777.409695751965,22.534031263534064
62,-10.916256344251615,"Location(x=38.016533, y=140.914337, z=0.124268)","Location(x=37.918640, y=134.051392, z=0.000000)",32.901336908340454,527,1,8,17.693465537865826,20600.25273311138,22.056536351359
63,-7.792276528512328,"Location(x=252.627747, y=-135.133606, z=0.018275)","Location(x=248.910522, y=-135.214096, z=0.000000)",87.45350956916809,1440,1,16,18.938188786885448,174763.63128118217,22.344332462956128
64,-17.72801588324133,"Location(x=166.999329, y=-142.650299, z=8.145650)","Location(x=154.163620, y=-142.873505, z=7.828350)",26.467085599899292,468,1,2,17.442360867499136,15598.943356640637,22.464589174365617
65,-12.23139825773627,"Location(x=-24.148058, y=-216.586502, z=0.155262)","Location(x=-24.338102, y=-208.619125, z=0.000000)",29.20976161956787,503,1,12,17.564926769893447,18255.88791909814,22.309859925482716
66,-12.506193576676095,"Location(x=-18.384645, y=74.182297, z=0.177622)","Location(x=-9.874171, y=74.128441, z=0.000000)",16.463305473327637,278,1,2,16.04232415229578,4723.555156964809,21.800393183854307
67,-12.603463390108395,"Location(x=-3.762253, y=-215.981323, z=0.164631)","Location(x=-3.960139, y=-208.107010, z=0.000000)",20.484146118164062,383,1,7,17.081132375630755,10072.500835914165,22.069808841491906
68,-12.82257181137987,"Location(x=-94.307037, y=-171.671127, z=0.165223)","Location(x=-87.490387, y=-171.155014, z=0.000000)",51.04624390602112,905,1,18,18.551418672507488,66257.23026902229,21.879384681029585
69,-21.75836149153021,"Location(x=177.409622, y=42.948540, z=0.139826)","Location(x=177.450577, y=58.870495, z=0.000000)",25.734364986419678,457,1,6,17.488736532340333,15021.37327459827,22.481051352743282
70,-9.855784180938663,"Location(x=16.242100, y=-159.475830, z=0.149057)","Location(x=10.460716, y=-159.618484, z=0.000000)",35.18728733062744,620,1,2,17.976909036162905,29240.953385807574,21.931959095030056
71,-11.33094399437542,"Location(x=-69.061073, y=-33.326691, z=-0.214238)","Location(x=-74.455795, y=-33.311981, z=-0.331250)",27.641880989074707,398,1,19,17.474077867071145,10940.351071156561,22.72750332259789
