episode,reward,vehicle_location,waypoint,duration,timesteps,collisions,lane_invasions,avg_speed,total_distance,max_speed
0,-9.20084304530216,"Location(x=-73.294304, y=-207.773163, z=0.069974)","Location(x=-70.943314, y=-203.465149, z=0.000000)",27.328505039215088,764,1,19,18.380653749319148,46291.359454292804,22.362394706342787
1,-16.528896030551973,"Location(x=103.795555, y=-216.053680, z=0.153049)","Location(x=103.527969, y=-205.405823, z=0.000000)",31.174781799316406,857,1,18,18.42579211101326,57888.57341449149,21.909640937739525
2,-9.354006344841505,"Location(x=135.565887, y=-126.514931, z=7.972868)","Location(x=135.680496, y=-131.864838, z=8.000000)",10.160980463027954,285,1,6,16.300136117040278,5025.881436243653,22.537605050984507
3,-21.021040612921134,"Location(x=-23.394951, y=-46.288826, z=0.031136)","Location(x=-6.350439, y=-45.868237, z=0.000000)",43.10598397254944,866,1,24,18.48627068262655,60153.145036667585,22.557968039929122
4,-8.169619864792903,"Location(x=-8.680326, y=-13.642460, z=0.093259)","Location(x=-10.525288, y=-16.740747, z=0.000000)",8.768247604370117,208,1,0,14.955277329284705,2288.277249637991,22.16900807069932
5,-7.656055309807714,"Location(x=187.631104, y=2.160680, z=0.156454)","Location(x=187.576401, y=5.822256, z=0.000000)",8.722295045852661,260,1,2,15.992905408532282,4057.351442564279,22.538268322887987
6,-9.727977949080056,"Location(x=-7.193063, y=-213.875275, z=0.119781)","Location(x=-7.335888, y=-208.191833, z=0.000000)",25.513206005096436,688,1,10,18.245800918151655,37331.913829732686,22.284224393293762
7,-5.1348870904665604,"Location(x=242.191452, y=-47.034496, z=0.001302)","Location(x=243.264252, y=-47.008408, z=0.000000)",9.654034614562988,257,1,1,15.712601841968103,3850.0541051514447,22.089398119014554
8,-12.25667340049906,"Location(x=-88.914970, y=-195.656204, z=0.163526)","Location(x=-82.318275, y=-191.581207, z=0.000000)",30.447210788726807,851,1,31,18.48565136378781,58181.52206334844,22.521369614504824
9,-11.54753144259862,"Location(x=-53.267838, y=-146.920578, z=0.151975)","Location(x=-53.428581, y=-139.416946, z=0.000000)",10.171167135238647,290,1,8,16.218967435151097,5238.008897479624,21.102113378184654
10,-6.260694144074491,"Location(x=183.912079, y=-0.022444, z=0.082560)","Location(x=183.945099, y=-2.232880, z=0.000000)",12.708123445510864,219,1,2,15.134835571912799,2593.5044844560325,22.282358610737347
11,-13.162416734687948,"Location(x=198.762314, y=207.480209, z=2.665251)","Location(x=195.315140, y=199.227051, z=2.630872)",58.33134174346924,1133,1,41,18.665795526913,104831.13932667673,22.183304723958297
12,-5.4132346027563205,"Location(x=-14.480228, y=-19.319653, z=0.001624)","Location(x=-13.934980, y=-18.698322, z=0.000000)",25.091546058654785,414,1,0,17.136808820892174,11950.55648656562,22.03586891419186
13,-9.634088426589258,"Location(x=176.294662, y=53.290527, z=0.058159)","Location(x=176.309021, y=58.873428, z=0.000000)",16.279268741607666,208,1,8,15.179426065383474,2332.9059795439243,22.476355253768777
14,-6.951862771747583,"Location(x=-0.757185, y=152.859634, z=0.095072)","Location(x=2.124116, y=152.841400, z=0.000000)",14.424942255020142,185,1,1,14.379779817397917,1671.3911445215344,21.441932252980624
15,-12.522945761717772,"Location(x=158.948334, y=-41.636135, z=3.582526)","Location(x=152.404709, y=-41.749954, z=3.501515)",31.90121555328369,522,1,9,17.790920491543034,20147.18582176417,21.943016943913666
16,-9.75750872915431,"Location(x=10.968942, y=92.270912, z=0.119192)","Location(x=5.241155, y=92.307152, z=0.000000)",41.7167649269104,563,1,4,17.871220389119383,23831.9386762809,21.96111937605991
17,-9.313202892408164,"Location(x=84.416710, y=12.231090, z=0.066491)","Location(x=84.483162, y=7.782681, z=0.111370)",30.70462989807129,519,1,14,17.707836021132287,19881.910227499902,22.062935805740672
18,-9.740620282859748,"Location(x=234.895752, y=-195.639404, z=0.036923)","Location(x=231.945450, y=-193.029587, z=0.000000)",60.1249475479126,1160,1,32,18.74562721445613,110997.078066241,22.487016358839067
19,-8.86394162445098,"Location(x=157.352753, y=54.068577, z=0.064572)","Location(x=157.365234, y=58.922165, z=0.000000)",24.014188766479492,315,1,0,16.493565731616588,6357.473540268838,22.343735862550233
20,-7.285588448463388,"Location(x=116.135162, y=0.024852, z=0.121129)","Location(x=116.184013, y=-3.245067, z=0.107907)",15.273680448532104,218,1,4,15.170052169904485,2580.9658257365227,21.99826769307569
21,-6.895963348893358,"Location(x=197.343002, y=3.109791, z=0.092231)","Location(x=197.300308, y=5.967507, z=0.000000)",13.701325416564941,276,1,7,16.028894669764007,4614.758063457906,22.383729948304946
22,-10.871494099184039,"Location(x=-67.394730, y=21.876194, z=0.177112)","Location(x=-74.305244, y=21.893166, z=0.022234)",31.33573031425476,483,1,4,17.613349887882038,17035.030777540058,22.446304589218453
23,-8.466745289144669,"Location(x=33.737583, y=-12.433281, z=0.077170)","Location(x=33.672043, y=-7.996614, z=-0.021504)",26.294464111328125,410,1,2,17.268922152525988,11808.44396385178,21.76662850295569
24,-4.764033863151493,"Location(x=173.895050, y=-198.078232, z=0.001367)","Location(x=173.894653, y=-197.399994, z=0.000000)",15.606502294540405,305,1,3,16.484085004308735,5919.96047314629,22.286317686605656
25,-8.788142868896548,"Location(x=139.324951, y=-11.531529, z=0.048525)","Location(x=140.395386, y=-6.972167, z=0.041086)",23.328624486923218,317,1,2,16.35395629014174,6362.065114300698,22.404299646918087
26,-12.13725987160122,"Location(x=127.389381, y=-182.677795, z=0.315878)","Location(x=127.593414, y=-190.796646, z=0.000000)",25.00398898124695,463,1,2,17.491845043869002,15433.121978569776,21.746516894217176
27,-10.039487048873102,"Location(x=3.830837, y=-212.702255, z=0.076722)","Location(x=3.710514, y=-207.914246, z=0.000000)",17.596705436706543,360,1,4,16.923743418327977,8724.216188658029,20.987549709995196
28,-8.899238108789644,"Location(x=13.618745, y=-6.170158, z=0.117679)","Location(x=17.561039, y=-7.916101, z=0.000000)",23.11707329750061,371,1,0,16.984904670151707,9286.364037707448,22.34242888959306
29,-10.80778480342337,"Location(x=74.045532, y=-212.843994, z=0.089562)","Location(x=73.877335, y=-206.150955, z=0.000000)",17.118806838989258,295,1,0,16.464418174851982,5483.024392053485,22.52756449236063
30,-19.13164020565253,"Location(x=-25.729828, y=-70.299927, z=-0.049662)","Location(x=-5.759724, y=-69.807144, z=0.000000)",51.35350775718689,733,0,6,18.279919772295536,42093.34800617397,22.005519894980264
31,-11.943414046759685,"Location(x=-155.738510, y=-9.167024, z=0.088630)","Location(x=-149.003479, y=-9.163513, z=0.000000)",33.024309158325195,617,1,4,18.052147858948636,28813.140438299626,22.49618086352393
32,-6.764697365894207,"Location(x=-127.934654, y=-6.025016, z=0.080324)","Location(x=-127.948792, y=-3.275255, z=0.000000)",12.18317437171936,229,1,3,15.43866353972291,2927.1212590634823,21.824007652168678
33,-8.642416624567133,"Location(x=243.991257, y=-182.431152, z=0.045351)","Location(x=239.795822, y=-180.692352, z=0.000000)",57.27590990066528,1064,1,30,18.682548214832853,92806.22925494239,22.2306621899502
34,-11.068734838549002,"Location(x=-16.552830, y=120.937935, z=0.154517)","Location(x=-9.578064, y=120.925201, z=0.000000)",20.98629665374756,336,1,4,16.727216392970945,7416.14837918058,22.280470161331795
35,-23.253057687655534,"Location(x=-117.951874, y=154.392746, z=0.150639)","Location(x=-118.353561, y=136.648438, z=0.000000)",41.289618492126465,793,1,28,18.40135441896584,49075.722065346316,22.63301403681054
36,-8.399633939957853,"Location(x=-7.439412, y=-14.369988, z=0.085651)","Location(x=-8.961576, y=-17.600788, z=0.000000)",25.676172971725464,406,1,0,17.27932089291792,11581.53360305354,22.0793065784822
37,-9.194585086868127,"Location(x=-68.736481, y=-163.569580, z=0.077820)","Location(x=-73.893326, y=-163.703262, z=0.000000)",26.25051474571228,513,1,11,17.790674851482805,19162.710161834955,22.109882866255035
38,-20.097927226663767,"Location(x=59.736176, y=-78.431534, z=8.248424)","Location(x=79.710884, y=-77.725578, z=8.000000)",31.021871328353882,466,0,4,17.569379798470898,15737.493308585137,22.25472519369572
39,-15.41606437476294,"Location(x=256.266693, y=-4.852684, z=0.152429)","Location(x=245.746246, y=-5.108552, z=0.000000)",29.858054399490356,606,1,8,17.93318319496073,27836.058946341276,21.964876307660862
40,-10.197031625823007,"Location(x=251.831436, y=-1.036207, z=0.135219)","Location(x=245.650848, y=-1.186526, z=0.000000)",36.226300954818726,627,1,4,18.18667614895529,30522.026897132397,22.295154475642658
41,-9.976910998069119,"Location(x=5.455131, y=-212.644104, z=0.085650)","Location(x=5.335243, y=-207.873413, z=0.000000)",49.93353247642517,972,1,21,18.581319645479702,76765.95832134411,22.164953461482096
42,-16.086663899861882,"Location(x=256.434113, y=46.442665, z=0.153740)","Location(x=244.499542, y=46.152409, z=0.000000)",25.265868663787842,450,1,2,17.569061447657155,14484.466338865459,22.65539827635084
43,-8.952010289470438,"Location(x=5.287404, y=14.916300, z=0.100636)","Location(x=6.968329, y=18.813816, z=0.000000)",12.110037803649902,194,1,0,14.39863129300932,1881.015695154667,22.413354825949906
