episode,reward,vehicle_location,waypoint,duration,timesteps,collisions,lane_invasions,avg_speed,total_distance,max_speed
0,-13.365577963092708,"Location(x=-36.881763, y=-187.437927, z=0.156221)","Location(x=-36.859329, y=-194.929367, z=0.000000)",22.59874701499939,576,1,10,17.915797936347214,25079.745847864076,22.483831137840976
1,-14.223177351777418,"Location(x=93.029579, y=-213.940872, z=0.082861)","Location(x=92.821854, y=-205.674866, z=0.000000)",28.088223218917847,776,1,16,18.38734502583764,47831.28987874836,21.5201910879007
2,-18.609100832800866,"Location(x=166.769730, y=-116.146660, z=8.147395)","Location(x=153.702698, y=-116.373947, z=8.000000)",16.894779682159424,477,1,12,17.440898078081297,16110.416366968304,22.106814331778402
3,-10.094623626147628,"Location(x=9.145115, y=-11.728807, z=0.120015)","Location(x=11.985850, y=-14.951872, z=0.000000)",52.175698041915894,1034,1,18,18.68778241969269,87940.30667824298,22.46163490509315
4,-8.15971993212642,"Location(x=-9.888129, y=-12.614502, z=0.107689)","Location(x=-12.350433, y=-15.476156, z=0.000000)",9.745037078857422,216,1,0,14.947293341198534,2492.27343519032,22.0114119090407
5,-10.126490952306439,"Location(x=251.054626, y=-2.315383, z=0.091974)","Location(x=245.681488, y=-2.446064, z=0.000000)",20.727969884872437,614,1,7,18.058555200731863,28948.604635003954,21.976977116704486
6,-12.447646721342398,"Location(x=-4.070317, y=-216.311905, z=0.155026)","Location(x=-4.276308, y=-208.114944, z=0.000000)",28.275080919265747,689,1,8,18.166989697024224,37081.067212644964,22.196811319272467
7,-6.159744282187427,"Location(x=241.960724, y=-81.959732, z=0.001362)","Location(x=244.113022, y=-81.907387, z=0.000000)",18.096212148666382,447,1,11,17.476949174558975,14335.13315580599,22.830829002153163
8,-12.258060557910447,"Location(x=-88.568756, y=-196.448654, z=0.166072)","Location(x=-81.979935, y=-192.143021, z=0.000000)",33.85008406639099,850,1,29,18.46219432156259,57932.02929157764,22.096026364569354
9,-15.25781558330854,"Location(x=-154.172623, y=-118.396324, z=0.915791)","Location(x=-144.120224, y=-113.784058, z=0.802879)",33.688074588775635,860,1,19,18.437195660320707,59131.9386193417,21.95328316775418
10,-6.779278095126629,"Location(x=184.522736, y=0.489309, z=0.079624)","Location(x=184.563263, y=-2.223646, z=0.000000)",13.749503374099731,214,1,3,15.169509647083911,2487.684621769935,22.213392938058178
