episode,reward,vehicle_location,waypoint,duration,timesteps,collisions,lane_invasions,avg_speed,total_distance,max_speed
0,-4.819938935623711,"Location(x=-113.140610, y=-62.126255, z=0.002567)","Location(x=-112.372780, y=-62.124756, z=0.000000)",2.8114235401153564,84,1,1,9.062019687244362,140.54612939059734,20.940308148183853
1,-4.945691247049185,"Location(x=-112.990273, y=-59.416893, z=0.001716)","Location(x=-112.100838, y=-59.524597, z=0.000000)",3.3251702785491943,99,1,1,10.596905416779565,254.66860309243202,20.627226597090658
2,-5.0279329453804555,"Location(x=-109.658974, y=-48.178295, z=0.001905)","Location(x=-110.622902, y=-48.122925, z=0.000000)",3.433016538619995,102,1,1,10.819114849167352,279.94292391836643,20.49662411355748
3,-4.988499366818543,"Location(x=-111.147499, y=-24.978579, z=0.001397)","Location(x=-110.214798, y=-25.006615, z=0.000000)",7.603065252304077,228,1,1,15.706947982771052,2945.7517975866795,22.04142444885002
4,-4.901439541764764,"Location(x=-109.522087, y=-45.008739, z=0.000343)","Location(x=-110.379623, y=-44.980202, z=0.000000)",4.072264671325684,121,1,1,11.920188854787396,481.57513926923275,21.283975547271947
5,-4.9400847630052604,"Location(x=-113.202431, y=-61.463562, z=0.001912)","Location(x=-112.320984, y=-61.538044, z=0.000000)",2.9685497283935547,88,1,1,9.429077328543464,166.3003492951393,21.50197165422979
6,-4.9824812405530405,"Location(x=-113.063126, y=-59.792084, z=0.000626)","Location(x=-112.148621, y=-59.914330, z=0.000000)",3.2955734729766846,98,1,1,10.326783717729356,243.97012168169022,21.62508851314946
7,-5.0297700226460265,"Location(x=-109.186707, y=-39.515484, z=0.000814)","Location(x=-110.154892, y=-39.534286, z=0.000000)",5.059490919113159,151,1,1,13.431905731638382,962.1356758475304,21.95172516273201
8,-4.918511003633698,"Location(x=-113.099350, y=-60.189690, z=0.000713)","Location(x=-112.185547, y=-60.230320, z=0.000000)",3.2048938274383545,95,1,1,10.183309679486173,218.532778352499,21.070190233979307
9,-4.8839859833136625,"Location(x=-109.373192, y=-39.942581, z=0.000787)","Location(x=-110.163506, y=-39.960144, z=0.000000)",5.022275447845459,150,1,1,13.239703178469757,938.7287405580282,22.35035121649152
10,-4.927172484697467,"Location(x=-109.382240, y=-42.535732, z=0.003737)","Location(x=-110.247002, y=-42.513676, z=0.000000)",4.458893775939941,133,1,1,12.83061196072505,663.4454745352268,22.462749821846536
11,-4.820737049417713,"Location(x=-113.019775, y=-60.935871, z=0.000958)","Location(x=-112.266769, y=-60.981628, z=0.000000)",3.323239326477051,91,1,1,9.745500135182926,186.8451469540596,20.866027480299344
12,-4.931615375216572,"Location(x=-113.084373, y=-60.362747, z=0.000840)","Location(x=-112.205231, y=-60.404835, z=0.000000)",3.1974971294403076,95,1,1,9.988780339154964,210.11555299162865,20.630111672879025
13,-4.855247266574123,"Location(x=-113.166924, y=-62.042107, z=0.002454)","Location(x=-112.369293, y=-62.083427, z=0.000000)",2.864971160888672,85,1,1,9.060351816104074,145.5099821537733,21.296686765553268
14,-5.146428462268377,"Location(x=-111.463959, y=-6.843712, z=0.001098)","Location(x=-110.348938, y=-6.870687, z=0.000000)",10.95127010345459,330,1,2,16.8416962532623,7149.049720942974,21.699896814220065
15,-5.187510812309408,"Location(x=-111.309135, y=-34.782066, z=0.001556)","Location(x=-110.142426, y=-34.807899, z=0.000000)",5.838633060455322,175,1,2,14.592303537723181,1469.2718339413404,22.42849478411892
16,-5.107598618794978,"Location(x=-109.079773, y=-39.119743, z=0.000376)","Location(x=-110.148300, y=-39.141502, z=0.000000)",5.146536588668823,154,1,2,13.482058726594005,1005.2837027162313,22.001897661895796
17,-5.063944913905697,"Location(x=-109.143326, y=-33.941978, z=0.001311)","Location(x=-110.148415, y=-33.981491, z=0.000000)",6.003983974456787,180,1,5,14.71796864760192,1585.321606501937,22.805044368076416
18,-4.85963928555366,"Location(x=-113.201218, y=-62.017040, z=0.002568)","Location(x=-112.369293, y=-62.083427, z=0.000000)",2.868485689163208,85,1,1,9.09087675998917,145.13408172130585,21.427444410549693
19,-4.970123383508964,"Location(x=-112.880180, y=-58.495659, z=0.000007)","Location(x=-111.974419, y=-58.578548, z=0.000000)",3.492936849594116,104,1,1,11.055305207398648,299.9998651146889,22.034209267976667
20,-5.030650458047199,"Location(x=-109.401863, y=-44.970482, z=0.002730)","Location(x=-110.376762, y=-44.935410, z=0.000000)",3.9858694076538086,119,1,1,12.156624794297729,472.19507440924644,22.27313868277694
21,-4.949002863051036,"Location(x=-109.475990, y=-45.231766, z=0.001557)","Location(x=-110.393684, y=-45.196362, z=0.000000)",3.963179588317871,118,1,1,12.022851776940998,459.0250983685255,21.060047779937268
22,-4.921220869369021,"Location(x=-113.179283, y=-61.479675, z=0.002380)","Location(x=-112.322296, y=-61.552094, z=0.000000)",3.058281898498535,88,1,1,9.412645405504422,164.7624439150095,21.365714336760067
23,-4.778250017179003,"Location(x=-113.171150, y=-63.185181, z=0.002072)","Location(x=-112.458908, y=-63.190659, z=0.000000)",2.6308157444000244,78,1,1,8.32111081477794,104.53430241346359,21.25176400323624
24,-4.8752026335610985,"Location(x=-113.133064, y=-61.514740, z=0.001489)","Location(x=-112.325150, y=-61.583092, z=0.000000)",2.965087652206421,88,1,1,9.394613399419885,166.28951378166676,21.311429575741517
25,-4.977043341244911,"Location(x=-112.661842, y=-56.876213, z=0.002541)","Location(x=-111.740852, y=-57.001812, z=0.000000)",3.7560410499572754,112,1,1,11.840465350131339,392.10216814279556,22.284134330427978
26,-4.947572258202537,"Location(x=-109.269150, y=-34.585518, z=0.001276)","Location(x=-110.143715, y=-34.623806, z=0.000000)",8.395751953125,245,1,5,15.444987963696217,3338.438795685768,22.59413563555709
27,-5.003272960674033,"Location(x=-109.308853, y=-42.887371, z=0.002894)","Location(x=-110.263634, y=-42.883755, z=0.000000)",4.535247564315796,131,1,1,12.755773151961769,639.6636750847101,22.003606858007707
28,-5.058440143095018,"Location(x=-109.161842, y=-41.148628, z=0.002668)","Location(x=-110.195343, y=-41.141998, z=0.000000)",4.711135625839233,141,1,1,13.190575899339724,801.2386849522591,21.97499626094364
29,-4.839542409100639,"Location(x=-113.216484, y=-63.216942, z=0.001320)","Location(x=-112.461678, y=-63.226440, z=0.000000)",2.6388967037200928,78,1,1,8.233197728529793,104.62497642636299,20.648775241794795
30,-5.023953398503346,"Location(x=-109.216133, y=-41.899349, z=0.000737)","Location(x=-110.221275, y=-41.882641, z=0.000000)",4.677631616592407,139,1,1,12.796524388106734,752.4782176762819,22.569820666718144
31,-4.897734557433528,"Location(x=-113.050331, y=-60.342197, z=0.000761)","Location(x=-112.202515, y=-60.380440, z=0.000000)",3.197788953781128,95,1,1,10.012340659215678,218.62439070641994,21.426736085996552
32,-4.929876237254158,"Location(x=-109.289955, y=-35.987221, z=0.001153)","Location(x=-110.135475, y=-36.020023, z=0.000000)",5.637937784194946,169,1,5,14.276101376778778,1331.4084681868553,22.130839600742448
33,-4.872401914400888,"Location(x=-113.202919, y=-62.209194, z=0.003837)","Location(x=-112.380203, y=-62.213398, z=0.000000)",2.817924976348877,84,1,1,8.98094430189415,141.09764850139618,22.08001757868942
34,-4.798823975645037,"Location(x=-113.178925, y=-63.358215, z=0.000966)","Location(x=-112.472488, y=-63.368343, z=0.000000)",2.594698190689087,77,1,1,8.19344169321545,99.17920486629009,21.27047342620714
35,-4.951138824592111,"Location(x=-112.907333, y=-58.830647, z=0.001866)","Location(x=-112.021820, y=-58.920540, z=0.000000)",3.483539342880249,102,1,1,10.908025932006076,284.8156224936247,20.739203143561735
36,-5.05476755864346,"Location(x=-109.179092, y=-40.831890, z=0.001553)","Location(x=-110.185822, y=-40.830582, z=0.000000)",4.782139539718628,143,1,1,13.234573809337924,817.9799348413944,21.301966845702825
37,-5.041513689783136,"Location(x=-109.485176, y=-46.491611, z=0.001590)","Location(x=-110.481728, y=-46.433109, z=0.000000)",3.942723274230957,111,1,1,11.574396081632216,378.75917233526707,21.75707153483191
38,-4.745958007272729,"Location(x=-109.814812, y=-45.757000, z=0.001301)","Location(x=-110.430252, y=-45.732224, z=0.000000)",5.928867816925049,178,1,5,14.546630978049185,1516.328830614686,22.75052905675952
39,-5.048126544654155,"Location(x=-109.317459, y=-12.077547, z=0.000912)","Location(x=-110.310135, y=-12.117009, z=0.000000)",9.99644660949707,301,1,3,16.589299034082803,5752.548884063959,20.637583319984127
40,-4.904721613452255,"Location(x=-113.180511, y=-61.535271, z=0.001513)","Location(x=-112.327515, y=-61.608891, z=0.000000)",2.9644386768341064,88,1,1,9.366089472289746,166.46634410321712,21.41521156847758
41,-4.928450183177626,"Location(x=-109.307762, y=-34.892910, z=0.001238)","Location(x=-110.141579, y=-34.930305, z=0.000000)",5.929803133010864,178,1,1,14.22121898085778,1499.3234948515892,21.96787835097847
42,-5.174291608069497,"Location(x=-109.051483, y=-41.035896, z=0.000969)","Location(x=-110.191765, y=-41.027924, z=0.000000)",4.70198655128479,141,1,2,13.284590793869588,796.7101509273052,20.518801584651563
43,-4.963947271464873,"Location(x=-113.099472, y=-60.142826, z=-0.000734)","Location(x=-112.180077, y=-60.182671, z=0.000000)",3.1948671340942383,95,1,1,10.263908131613421,219.22284822165966,22.470195642926164
44,-4.820378882584766,"Location(x=-113.229225, y=-63.731922, z=0.000134)","Location(x=-112.500107, y=-63.761841, z=0.000000)",2.5322675704956055,75,1,1,7.883935276931479,89.78201705217361,21.259402539843283
45,-4.8272739624091034,"Location(x=-113.137657, y=-61.970119, z=0.002490)","Location(x=-112.366203, y=-62.047062, z=0.000000)",2.8670148849487305,85,1,1,9.15762448539396,147.1008349955082,21.5252075669547
46,-4.995957908793417,"Location(x=-109.440903, y=-44.847061, z=0.001829)","Location(x=-110.369247, y=-44.816589, z=0.000000)",4.019320249557495,120,1,1,12.172318503395978,485.7619020193815,20.52320082947757
47,-5.161449882127455,"Location(x=-109.125145, y=-20.404028, z=0.001268)","Location(x=-110.248543, y=-20.444256, z=0.000000)",8.54492735862732,257,1,2,15.950202175003694,3884.1965428590775,22.30221480057559
48,-4.945005437114924,"Location(x=-109.281830, y=-33.749554, z=0.001301)","Location(x=-110.149849, y=-33.788254, z=0.000000)",6.080842018127441,180,1,1,14.67406155060307,1592.0749943256378,22.434161093083677
49,-4.929429290333566,"Location(x=-113.150406, y=-60.901218, z=0.001519)","Location(x=-112.264526, y=-60.959740, z=0.000000)",3.0705177783966064,91,1,1,9.798928567827128,188.15480257570744,21.054999918117566
50,-4.935603215189058,"Location(x=-113.053398, y=-60.029888, z=0.000680)","Location(x=-112.166214, y=-60.063103, z=0.000000)",3.227351188659668,96,1,1,10.250158939514952,229.86568827927113,21.48872584433294
51,-4.84609265521986,"Location(x=-113.208641, y=-62.795902, z=0.003289)","Location(x=-112.428055, y=-62.802422, z=0.000000)",2.703522205352783,80,1,1,8.619915515698365,116.12557177245617,21.882887607128495
52,-4.880515247224581,"Location(x=-110.012276, y=-50.189548, z=0.001366)","Location(x=-110.820900, y=-50.119286, z=0.000000)",3.0676589012145996,91,1,1,9.737900528247058,185.73385180532932,21.144702567515584
53,-5.001744125743076,"Location(x=-112.978043, y=-58.923050, z=-0.000487)","Location(x=-112.035736, y=-59.023708, z=0.000000)",3.39428448677063,101,1,1,10.93918714318039,274.4691269695759,22.268177271058892
54,-5.0463781753040635,"Location(x=-112.949371, y=-58.274055, z=0.000607)","Location(x=-111.943893, y=-58.365211, z=0.000000)",3.526556968688965,105,1,2,11.171834934763694,312.69638282060623,22.13525649380409
55,-5.024389718909386,"Location(x=-112.112106, y=-52.779774, z=0.000495)","Location(x=-111.158714, y=-52.941353, z=0.000000)",4.550112247467041,136,1,1,12.988814285797321,715.6670887172222,22.181709206669534
56,-5.013951597982224,"Location(x=-112.955612, y=-58.609444, z=-0.000402)","Location(x=-111.992004, y=-58.703873, z=0.000000)",3.458888292312622,103,1,1,11.042524958187457,294.2373642027378,22.349561638179605
57,-5.074360736654433,"Location(x=-111.165787, y=-39.536621, z=0.001233)","Location(x=-110.156311, y=-39.610104, z=0.000000)",4.988116502761841,149,1,1,13.54917368521468,930.8727824091911,21.044270154129677
58,-5.028932069848936,"Location(x=-111.101456, y=-35.143368, z=0.001309)","Location(x=-110.140007, y=-35.169415, z=0.000000)",5.850888729095459,175,1,1,14.259989349280586,1442.827014312148,22.135971345914307
59,-4.936137067736073,"Location(x=-113.142540, y=-60.888638, z=0.000012)","Location(x=-112.263130, y=-60.946117, z=0.000000)",3.0610995292663574,91,1,1,9.821754086941366,188.66175639629364,21.73071079079675
60,-4.921482223861921,"Location(x=-113.135857, y=-61.015156, z=0.001216)","Location(x=-112.276146, y=-61.074295, z=0.000000)",3.0654845237731934,91,1,1,9.66019391799604,186.04142808914185,21.272132714888826
61,-5.009466512552784,"Location(x=-109.201492, y=-32.780579, z=0.001315)","Location(x=-110.157013, y=-32.819798, z=0.000000)",6.260669946670532,188,1,1,14.706660665033903,1762.5535740554333,22.215095047026622
62,-4.86403993864882,"Location(x=-113.177521, y=-62.175053, z=0.002456)","Location(x=-112.377167, y=-62.176952, z=0.000000)",2.852240562438965,85,1,1,8.915559182866795,145.56956745684147,21.47193510396135
63,-5.2565142629322406,"Location(x=-111.375366, y=-39.126720, z=0.001063)","Location(x=-110.149399, y=-39.212166, z=0.000000)",5.186691999435425,153,1,2,13.45650139171477,1002.0891450047493,22.098019608347673
64,-4.982121236924614,"Location(x=-109.317299, y=-42.263638, z=0.000816)","Location(x=-110.235596, y=-42.244049, z=0.000000)",4.54621148109436,136,1,1,12.780599877833927,711.4089713543653,21.83931096187209
65,-4.972855582883953,"Location(x=-109.298546, y=-41.764198, z=0.001200)","Location(x=-110.216362, y=-41.751873, z=0.000000)",4.579521417617798,137,1,1,13.085349110829132,730.1427765339613,20.43662891159117
66,-5.167439592231817,"Location(x=-111.283531, y=-33.908295, z=0.001364)","Location(x=-110.148758, y=-33.935123, z=0.000000)",5.96230411529541,179,1,2,14.614223594104095,1563.8296820670366,21.944358077471136
67,-4.888473215549229,"Location(x=-113.253662, y=-62.694588, z=0.003026)","Location(x=-112.420235, y=-62.704784, z=0.000000)",2.720299005508423,81,1,1,8.679146824211156,122.22149030864239,21.287049832196452
68,-5.01645032628787,"Location(x=-113.002060, y=-58.944363, z=-0.000538)","Location(x=-112.039070, y=-59.048576, z=0.000000)",3.386302947998047,101,1,1,10.911836654942023,274.0958679020405,22.78007117293589
69,-4.882268275403791,"Location(x=-113.152695, y=-61.786850, z=0.002518)","Location(x=-112.350258, y=-61.862492, z=0.000000)",2.895777463912964,86,1,1,9.269724117732567,152.4540569782257,21.178030983267096
70,-5.0579917743010885,"Location(x=-113.132416, y=-59.596367, z=0.000512)","Location(x=-112.125832, y=-59.725914, z=0.000000)",3.331315040588379,99,1,2,10.44147997561937,251.99834617972374,21.750387573411423
71,-4.97458506007776,"Location(x=-109.366959, y=-43.255974, z=0.000962)","Location(x=-110.281204, y=-43.249443, z=0.000000)",4.285344839096069,128,1,1,12.722087944875726,596.9502333551645,22.24311838446
72,-4.965526515100872,"Location(x=-109.310112, y=-26.241093, z=0.001274)","Location(x=-110.205383, y=-26.279961, z=0.000000)",7.45384669303894,224,1,5,15.440276209181837,2764.8922324478626,22.087340864133004
73,-4.917725464122464,"Location(x=-113.128418, y=-61.034931, z=0.001656)","Location(x=-112.278091, y=-61.093670, z=0.000000)",3.025261402130127,90,1,1,9.75231045926361,182.3025720268488,21.224256534234843
74,-4.884069642081416,"Location(x=-110.029083, y=-50.305218, z=0.001032)","Location(x=-110.833260, y=-50.233669, z=0.000000)",3.0321545600891113,90,1,1,9.70596531843564,180.12144722044468,20.683929335636627
75,-4.853219399034025,"Location(x=-113.209480, y=-62.851498, z=0.002811)","Location(x=-112.432495, y=-62.857780, z=0.000000)",2.7045700550079346,80,1,1,8.545261352225712,115.85191528499126,21.25225268640522
76,-4.9741371699664265,"Location(x=-112.834038, y=-58.086987, z=-0.000543)","Location(x=-111.914314, y=-58.162300, z=0.000000)",3.590407609939575,107,1,1,11.165094443924188,328.5891791731119,22.765038442711145
77,-4.908221189630533,"Location(x=-113.035347, y=-60.046894, z=0.000277)","Location(x=-112.168022, y=-60.078548, z=0.000000)",3.2635498046875,97,1,1,10.130986537469676,231.65008176863194,21.544032263601288
78,-4.857302870094996,"Location(x=-113.075348, y=-61.079891, z=0.001530)","Location(x=-112.282112, y=-61.134029, z=0.000000)",3.1474545001983643,90,1,1,9.68511522499539,180.72036460042,21.04497567193781
