episode,reward,vehicle_location,waypoint,duration,timesteps,collisions,lane_invasions,avg_speed,total_distance,max_speed
0,-4.927706412057617,"Location(x=-113.194908, y=-61.721981, z=0.001119)","Location(x=-112.344818, y=-61.800743, z=0.000000)",3.0101659297943115,87,1,1,9.259696389838895,158.35811038315296,20.92635310152213
1,-4.8951547044164965,"Location(x=-113.106552, y=-60.933613, z=0.001211)","Location(x=-112.267433, y=-60.988232, z=0.000000)",3.087578773498535,91,1,1,9.71126259047718,183.3719921708107,20.67396759397987
2,-5.103400702094775,"Location(x=-111.376518, y=-11.521545, z=0.001533)","Location(x=-110.314331, y=-11.548829, z=0.000000)",10.144717693328856,305,1,2,16.683253755527865,5933.556987434626,22.655296505250217
3,-4.948904170484996,"Location(x=-109.262543, y=-37.805328, z=0.001331)","Location(x=-110.135338, y=-37.822441, z=0.000000)",5.32517671585083,159,1,1,14.0312752536903,1120.1591924279928,22.31840882476542
4,-4.910887837525024,"Location(x=-109.871719, y=-49.228653, z=0.000579)","Location(x=-110.722374, y=-49.168526, z=0.000000)",3.2789323329925537,97,1,1,10.18378387701587,235.32128159701824,21.64031599892103
5,-4.921064174883576,"Location(x=-113.155037, y=-61.294476, z=0.000787)","Location(x=-112.304268, y=-61.360840, z=0.000000)",3.043851613998413,90,1,1,9.438161293237792,178.05885127186775,21.356861269855838
6,-5.053532786302947,"Location(x=-112.717049, y=-56.672302, z=0.001348)","Location(x=-111.712059, y=-56.809650, z=0.000000)",3.837139368057251,114,1,1,11.78394602855548,410.41008065640926,20.56094532640325
7,-4.971867832235366,"Location(x=-109.241600, y=-39.831898, z=0.003005)","Location(x=-110.161079, y=-39.847477, z=0.000000)",5.029143571853638,150,1,1,13.3270416101747,938.0577458292246,22.20923882621805
8,-4.947103426455781,"Location(x=-112.929283, y=-58.969540, z=0.000360)","Location(x=-112.041122, y=-59.063904, z=0.000000)",3.402837038040161,101,1,1,10.854546612383611,272.03064173460007,22.055910707297706
9,-4.971223479454506,"Location(x=-109.221420, y=-38.139000, z=0.001271)","Location(x=-110.137337, y=-38.152344, z=0.000000)",5.256190538406372,157,1,1,13.839551012198386,1085.3869639486074,22.03345397392285
