episode,reward,vehicle_location,waypoint,duration,timesteps,collisions,lane_invasions,avg_speed,total_distance,max_speed
0,-10.157109574829803,"Location(x=-93.453804, y=-168.497696, z=0.111059)","Location(x=-87.668533, y=-168.037369, z=0.000000)",35.64385271072388,928,1,42,18.570655086747696,68413.90806002542,22.230635624628793
1,-9.370205036980122,"Location(x=54.227024, y=-187.263458, z=0.098805)","Location(x=54.362064, y=-192.636963, z=0.000000)",21.462742805480957,555,1,2,17.768494391816233,23087.815411247313,22.403709155000463
2,-17.406230787383056,"Location(x=166.871094, y=-139.383652, z=8.144568)","Location(x=154.106781, y=-139.605652, z=7.993963)",15.869296789169312,462,1,2,17.393223587572646,15199.10300411284,22.113065677494046
3,-9.313138333528558,"Location(x=-9.777308, y=-121.506111, z=0.079358)","Location(x=-4.487225, y=-121.375572, z=0.000000)",23.515796422958374,434,1,6,17.31656664829327,13267.112808482721,22.076242255867797
4,-4.741078138129616,"Location(x=-21.791323, y=11.023597, z=0.001359)","Location(x=-21.406696, y=10.817405, z=0.000000)",14.780793190002441,357,1,0,16.886780236951214,8528.958659607917,21.738301127249226
5,-7.703703554751244,"Location(x=179.730621, y=2.055482, z=0.145027)","Location(x=179.676117, y=5.704245, z=0.000000)",7.361391544342041,218,1,2,15.218700510865334,2606.0951751619577,22.098981948523
6,-9.464239730553974,"Location(x=23.966883, y=-212.764465, z=0.110254)","Location(x=23.832285, y=-207.408585, z=0.000000)",20.432920217514038,520,1,6,17.807298061358875,20278.825937811285,22.055762069578027
7,-5.310188937010751,"Location(x=243.426636, y=-104.248276, z=0.001284)","Location(x=244.655640, y=-104.218384, z=0.000000)",20.915456295013428,571,1,13,17.888951216597196,24693.46441328898,22.057085513472135
8,-8.837788548211325,"Location(x=20.311209, y=-212.284149, z=0.082459)","Location(x=20.190985, y=-207.500092, z=0.000000)",9.074692249298096,250,1,6,15.612871308636231,3616.2543005421758,21.85654130623522
9,-8.846444088548996,"Location(x=-92.259216, y=-151.209015, z=0.028992)","Location(x=-88.475685, y=-151.036926, z=0.000000)",17.66170907020569,506,1,12,17.602326053566642,18799.20305608958,22.028601342915767
10,-7.782231393099979,"Location(x=184.604874, y=1.488992, z=0.151466)","Location(x=184.660309, y=-2.222196, z=0.000000)",12.59354019165039,215,1,4,15.127303160765766,2499.3224604018033,21.715152805925726
11,-11.845346707986321,"Location(x=76.840271, y=215.125107, z=0.897693)","Location(x=76.820839, y=207.339417, z=0.786371)",24.32560110092163,444,1,4,17.36950008419,14113.318369962275,22.18526701599173
12,-8.748709298990487,"Location(x=11.851913, y=-8.812319, z=0.116095)","Location(x=15.279464, y=-11.563107, z=0.000000)",16.471006631851196,261,1,0,15.932234008144203,4078.0224396139383,21.051694315811098
13,-7.0729100597001135,"Location(x=86.185036, y=68.066360, z=0.030620)","Location(x=86.923355, y=69.053047, z=0.000000)",51.450220346450806,708,1,9,18.212544917196215,39147.89260946214,22.39284158323288
14,-7.731458409674087,"Location(x=-1.581998, y=153.347778, z=0.158713)","Location(x=2.127172, y=153.324310, z=0.000000)",14.413262844085693,183,1,0,14.296279646976313,1618.906506901607,22.419305840960696
15,-9.360697016898898,"Location(x=141.360748, y=-67.773949, z=8.087997)","Location(x=141.472946, y=-72.170609, z=8.000000)",25.457406282424927,376,1,6,16.975566466338627,9605.274007301778,21.89148626836073
16,-12.660905563382968,"Location(x=13.251265, y=123.496597, z=0.087227)","Location(x=13.304954, y=130.902130, z=0.000000)",29.985130071640015,393,1,2,17.071975033256393,10605.123472418636,22.10805141317099
17,-8.996206401207061,"Location(x=86.561462, y=12.148054, z=0.068579)","Location(x=86.626190, y=7.814693, z=0.117074)",31.117902994155884,525,1,3,17.66166999823576,20297.082695513964,22.380810024674627
18,-10.799267471144898,"Location(x=160.483643, y=-180.904617, z=0.321275)","Location(x=154.826828, y=-181.002991, z=0.252323)",40.56407427787781,760,1,16,18.298758909638476,45098.69881746918,22.384571128678388
19,-11.410654387613897,"Location(x=128.606018, y=67.923264, z=0.104829)","Location(x=128.592056, y=62.496193, z=0.000000)",35.447011947631836,476,1,12,17.576672419913653,16394.97344322875,22.024507413270626
20,-9.25705927825602,"Location(x=51.615250, y=-12.916444, z=0.078839)","Location(x=51.537487, y=-7.711121, z=0.021399)",39.45718216896057,581,1,10,17.86382566217699,25320.183955591172,22.05600876940277
21,-10.473993984233047,"Location(x=251.407440, y=-3.834401, z=0.086561)","Location(x=245.718628, y=-3.972758, z=0.000000)",28.59154486656189,584,1,6,17.861395104134022,25383.525682024658,22.235508635447534
22,-12.576495142562933,"Location(x=-65.801430, y=43.357010, z=0.535302)","Location(x=-74.246635, y=43.380043, z=0.391652)",24.4579861164093,369,1,8,16.98621378581995,9209.661100283265,22.10903414276484
23,-7.408408417819108,"Location(x=29.550922, y=-1.256115, z=0.107985)","Location(x=29.643490, y=-4.606243, z=-0.013289)",28.531965017318726,437,1,5,17.365311470208987,13542.484122291207,22.57741580482199
24,-10.755468048751581,"Location(x=161.377060, y=-186.686264, z=0.081927)","Location(x=156.251770, y=-190.063843, z=-0.081162)",12.009638786315918,232,1,0,15.623172351244213,3055.795702004805,22.478231120769696
25,-6.666168799112035,"Location(x=81.895683, y=-1.156649, z=0.083624)","Location(x=81.934517, y=-3.756672, z=0.103991)",45.15962362289429,630,1,6,17.99259853683483,30381.185697712004,22.10048193024226
26,-10.26275448142748,"Location(x=232.115173, y=-199.147690, z=0.043604)","Location(x=228.879242, y=-196.158325, z=0.000000)",53.75075697898865,1048,1,23,18.62916779427021,89752.98244266957,21.927771601090186
