episode,reward,vehicle_location,waypoint,duration,timesteps,collisions,lane_invasions,avg_speed,total_distance,max_speed
0,-9.261688943256004,"Location(x=-87.627853, y=-191.611267, z=0.077250)","Location(x=-83.485703, y=-189.439331, z=0.000000)",32.621315002441406,856,1,39,18.444599632354656,58083.20022662729,22.618239238192036
1,-4.958645599254201,"Location(x=169.501282, y=-198.310791, z=0.001390)","Location(x=169.500748, y=-197.399994, z=0.000000)",43.24061989784241,1193,1,11,18.78680340204526,117938.3470274657,22.614719188925097
2,-10.724629167168853,"Location(x=159.582886, y=-132.943344, z=8.057391)","Location(x=153.992599, y=-133.040573, z=8.000000)",14.942796468734741,416,1,2,17.183138618759923,12057.070844683796,22.198933175670472
3,-10.6786683830796,"Location(x=14.278172, y=-122.094620, z=0.049205)","Location(x=9.537666, y=-122.211594, z=0.000000)",23.444704055786133,436,1,6,17.40734211740546,13490.172550076619,21.91627724204278
4,-8.275766205989806,"Location(x=-11.125171, y=-11.175099, z=0.113190)","Location(x=-13.968320, y=-14.049977, z=0.000000)",9.876914024353027,224,1,0,15.268324163093189,2765.551097214222,22.06417264620748
5,-15.860769515995592,"Location(x=256.212585, y=11.540607, z=0.152864)","Location(x=245.347748, y=11.276367, z=0.000000)",21.65199303627014,647,1,8,18.14824844278613,32091.020748425275,22.205605690129566
6,-9.743418855514477,"Location(x=55.946655, y=-212.321564, z=0.119807)","Location(x=55.803005, y=-206.605164, z=0.000000)",14.254967212677002,349,1,0,16.739393640378534,8033.1874158121645,22.352032917741973
7,-8.464960586957567,"Location(x=251.125595, y=-45.057812, z=0.044180)","Location(x=246.720459, y=-45.164955, z=0.000000)",9.618953943252563,251,1,8,15.77648517421363,3673.039122145623,22.07136188921337
8,-13.483492748966844,"Location(x=-39.874973, y=-187.493652, z=0.152489)","Location(x=-39.852055, y=-195.004578, z=0.000000)",25.30938410758972,589,1,10,17.984417249374292,26479.082029055804,21.913096048310603
9,-12.825988557597242,"Location(x=-139.515411, y=-134.353622, z=1.016528)","Location(x=-133.636078, y=-128.037415, z=0.870648)",29.011569023132324,763,1,15,18.3415411714561,46074.36406162009,22.251445815844406
10,-8.040694640038675,"Location(x=167.641006, y=1.475600, z=0.158537)","Location(x=167.700027, y=-2.475542, z=0.000258)",18.809314012527466,307,1,8,16.564893031866085,6077.217697201297,22.16131266097538
11,-12.592764226114156,"Location(x=45.074795, y=215.896912, z=0.290717)","Location(x=45.053635, y=207.418686, z=0.127974)",17.047998428344727,273,1,4,16.107329399908334,4512.6954181194305,22.04474915847901
12,-9.043396095865265,"Location(x=13.546243, y=-6.328647, z=0.099909)","Location(x=17.373360, y=-8.296982, z=0.000000)",17.334694862365723,251,1,0,15.846179737752673,3711.4489748105407,20.537611578239645
13,-15.108890744158767,"Location(x=90.744789, y=77.452698, z=0.145217)","Location(x=85.863914, y=69.796082, z=0.000000)",54.149205684661865,706,1,15,18.219290965753174,38525.38995230384,22.09729228975635
14,-8.778667508431429,"Location(x=10.193286, y=121.635376, z=0.043001)","Location(x=5.427169, y=121.704781, z=0.000000)",28.83236074447632,357,1,2,17.03216531028493,8645.073346823454,22.556293593611695
15,-20.88691692792172,"Location(x=172.460724, y=-48.847538, z=8.148339)","Location(x=152.534180, y=-49.194134, z=4.947205)",32.79147815704346,499,0,8,17.749429212946723,18227.756426449865,22.12598949238079
16,-11.023424797031005,"Location(x=12.403989, y=122.883942, z=0.086471)","Location(x=5.467776, y=123.481453, z=0.000000)",32.849141359329224,399,1,2,17.062382186958697,10935.237941237167,22.249573367573372
17,-6.498526703720614,"Location(x=70.338379, y=-2.424695, z=0.047117)","Location(x=70.360855, y=-3.929555, z=0.072598)",30.20181632041931,442,1,8,17.369874812803932,13801.710773132741,22.60425074603116
18,-4.928109112955167,"Location(x=207.896072, y=-197.122925, z=0.001252)","Location(x=207.550034, y=-196.263794, z=0.000000)",59.524842262268066,1007,1,13,18.678710561620164,83154.05391033925,22.379767562119714
19,-16.407992484658454,"Location(x=144.317322, y=46.643433, z=0.138357)","Location(x=144.348999, y=58.955650, z=0.000000)",33.791500091552734,398,1,4,16.92728702593859,10903.11525240913,21.91077778013428
20,-6.565878091351735,"Location(x=72.940689, y=-1.387567, z=0.083211)","Location(x=72.978073, y=-3.890460, z=0.079697)",35.749080419540405,454,1,2,17.52193837968873,14979.51668615453,22.03734840095498
21,-9.402059989249384,"Location(x=195.644806, y=14.824380, z=0.087321)","Location(x=195.725174, y=9.444369, z=0.000000)",15.02923583984375,266,1,4,15.880101084652317,4223.070493999869,22.36140604376485
22,-10.220587712719997,"Location(x=-68.154678, y=11.573778, z=0.139572)","Location(x=-74.333344, y=11.588954, z=0.000000)",40.709815979003906,547,1,12,17.848209101028726,22373.650850135833,22.407759490437606
23,-9.189922429982314,"Location(x=14.625098, y=-3.057180, z=0.100455)","Location(x=18.919556, y=-4.084310, z=0.000000)",39.00379157066345,519,1,2,17.781403866684013,19955.106973029673,22.644116137362424
24,-4.9467469832365545,"Location(x=228.053009, y=-181.984940, z=0.001413)","Location(x=227.424271, y=-181.614777, z=0.000000)",35.91218972206116,608,1,14,17.96452038344722,28004.910687497817,22.061704759765373
25,-10.980058159532634,"Location(x=88.532066, y=12.945480, z=0.092475)","Location(x=88.608269, y=7.844301, z=0.121664)",51.32572650909424,599,1,14,18.02020578490051,27474.915072981268,22.257257501427933
26,-9.94152481608291,"Location(x=112.011147, y=-209.328186, z=0.037411)","Location(x=111.907288, y=-205.195251, z=0.000000)",25.779203176498413,383,1,12,17.100396924621677,10080.055111989379,21.98004467064808
27,-9.964391462552772,"Location(x=11.618588, y=-212.511200, z=0.089912)","Location(x=11.498148, y=-207.718536, z=0.000000)",22.59612774848938,365,1,3,16.86473826934638,8876.230174690485,22.522437674928714
