episode,reward,vehicle_location,waypoint,duration,timesteps,collisions,lane_invasions,avg_speed,total_distance,max_speed
0,-4.939791335301041,"Location(x=-113.228447, y=-61.928967, z=0.000989)","Location(x=-112.363434, y=-62.014626, z=0.000000)",3.010756492614746,87,1,1,8.97527957921375,147.90078830718994,20.469975350563892
1,-4.894353923847959,"Location(x=-109.767715, y=-47.535004, z=0.001255)","Location(x=-110.568413, y=-47.504211, z=0.000000)",5.593961238861084,167,1,1,14.111273199425417,1275.7009796351194,21.944196203711506
2,-5.2143013466539525,"Location(x=-111.522423, y=-8.168675, z=0.001387)","Location(x=-110.339142, y=-8.195245, z=0.000000)",10.752961874008179,323,1,2,16.75263667838767,6771.0732113868,22.33296065928848
3,-4.971166635626269,"Location(x=-109.452621, y=-6.887240, z=0.001471)","Location(x=-110.348526, y=-6.926134, z=0.000000)",11.00532841682434,331,1,1,16.90715733179723,7184.403289437294,22.61463320335384
4,-5.005845378424019,"Location(x=-109.245163, y=-29.288784, z=0.001250)","Location(x=-110.182838, y=-29.327900, z=0.000000)",6.911757707595825,207,1,1,15.143329987295171,2275.4693902879953,21.979666192945405
5,-4.926794698810422,"Location(x=-113.108620, y=-60.781242, z=-0.000164)","Location(x=-112.251457, y=-60.833279, z=0.000000)",3.107114553451538,92,1,1,9.814887831639222,193.21986171603203,21.93168537135794
7,-5.001850037958244,"Location(x=-109.322319, y=-42.797737, z=0.000517)","Location(x=-110.259605, y=-42.796490, z=0.000000)",4.427663087844849,132,1,1,12.714678658881134,652.7278726100922,22.396435680178563
8,-4.860005540498626,"Location(x=-113.219696, y=-62.646351, z=0.001839)","Location(x=-112.416161, y=-62.654095, z=0.000000)",2.7808897495269775,82,1,1,8.5877350120122,125.58249428868294,20.846958609209363
9,-5.0978804566663305,"Location(x=-111.228432, y=-29.617983, z=0.001392)","Location(x=-110.180489, y=-29.645332, z=0.000000)",6.908020734786987,207,1,2,14.973350880108596,2236.566268593073,22.256098594398196
10,-5.107090931262517,"Location(x=-109.185822, y=-20.584797, z=0.001381)","Location(x=-110.247208, y=-20.624653, z=0.000000)",8.494197368621826,255,1,1,15.983926604031538,3830.7471980303526,22.427150412942016
