episode,reward,vehicle_location,waypoint,duration,timesteps,collisions,lane_invasions,avg_speed,total_distance,max_speed
0,-4.79314845006532,"Location(x=-113.132477, y=-62.541855, z=0.004978)","Location(x=-112.407211, y=-62.543034, z=0.000000)",2.8420591354370117,83,1,1,8.595660225190176,127.45648439228535,21.98257398196425
1,-4.895352974851059,"Location(x=-113.218292, y=-62.117222, z=0.001816)","Location(x=-112.372498, y=-62.121449, z=0.000000)",2.885187864303589,85,1,1,8.938113351271872,142.89995229244232,21.70939259301486
2,-5.143887930403683,"Location(x=-109.078941, y=-29.543320, z=0.001216)","Location(x=-110.180946, y=-29.583410, z=0.000000)",6.820793867111206,204,1,2,15.225425111685286,2203.0933907032013,22.604194800571975
3,-4.972660721846026,"Location(x=-109.451332, y=-44.685501, z=0.001594)","Location(x=-110.359428, y=-44.658596, z=0.000000)",4.065247297286987,121,1,1,12.208101736793166,499.07187604904175,21.413174635416066
4,-5.053032851330707,"Location(x=-109.151543, y=-39.642357, z=0.001386)","Location(x=-110.157242, y=-39.658279, z=0.000000)",4.988445997238159,149,1,1,13.618539941357156,930.5068974792957,22.52138167907456
5,-4.875286086866338,"Location(x=-113.057091, y=-60.796551, z=0.000946)","Location(x=-112.252533, y=-60.843578, z=0.000000)",3.110912561416626,92,1,1,9.801102541713613,196.10590794682503,21.16784646978725
6,-4.995208819630283,"Location(x=-112.888100, y=-58.334351, z=-0.000577)","Location(x=-111.951401, y=-58.417267, z=0.000000)",3.5776162147521973,106,1,1,11.017320790442836,316.462201833725,22.55360036773884
7,-4.978189234084444,"Location(x=-109.484810, y=-45.598763, z=0.003690)","Location(x=-110.418037, y=-45.557091, z=0.000000)",3.9044103622436523,116,1,1,11.878219967881769,430.88912814855576,22.60732706199041
8,-4.914825769819482,"Location(x=-113.253799, y=-62.021839, z=0.002348)","Location(x=-112.369293, y=-62.083427, z=0.000000)",2.878422260284424,85,1,1,9.082089685366268,145.95899964869022,21.21131933578572
9,-5.117971136226935,"Location(x=-109.076485, y=-32.771374, z=0.001277)","Location(x=-110.157074, y=-32.811333, z=0.000000)",6.347996473312378,190,1,1,14.521922601897282,1789.2172511070967,22.36535159000909
10,-5.126050189714932,"Location(x=-109.045944, y=-36.792610, z=0.001006)","Location(x=-110.133423, y=-36.821068, z=0.000000)",5.526475429534912,165,1,2,14.101969219240472,1231.3783898204565,22.560909584774016
11,-5.119830311164775,"Location(x=-109.351776, y=5.287535, z=0.001264)","Location(x=-110.438560, y=5.247494, z=0.000000)",21.7214035987854,461,1,8,17.70066451442623,15303.712261974812,22.73339802288737
12,-5.09018702301322,"Location(x=-112.580040, y=-55.475082, z=0.000014)","Location(x=-111.535561, y=-55.622345, z=0.000000)",5.364677429199219,122,1,2,12.08539745954826,504.94429448246956,21.369086748375796
13,-4.868332129212824,"Location(x=-113.226265, y=-62.527523, z=0.001573)","Location(x=-112.406609, y=-62.535645, z=0.000000)",3.6106584072113037,83,1,1,8.619063742258954,129.45212261378765,20.902516620434515
14,-5.199529543429294,"Location(x=-109.192703, y=-5.293006, z=0.001253)","Location(x=-110.360306, y=-5.333513, z=0.000000)",14.87779426574707,337,1,2,16.878757715966618,7526.9209756702185,21.990739807215622
15,-5.118394963890982,"Location(x=-111.375809, y=-43.601246, z=0.000933)","Location(x=-110.304916, y=-43.709591, z=0.000000)",5.587128400802612,127,1,2,12.397718340192275,578.86198168993,22.124124936125554
16,-4.896105212291951,"Location(x=-109.771011, y=-47.781742, z=0.000460)","Location(x=-110.589287, y=-47.745716, z=0.000000)",4.506774663925171,103,1,1,11.12353773257736,292.0181877166033,22.32854933467138
17,-4.966561777376527,"Location(x=-109.280380, y=-29.402248, z=0.001046)","Location(x=-110.181999, y=-29.441151, z=0.000000)",9.266735076904297,208,1,1,15.02318801648432,2276.502279177308,21.95475754529292
18,-4.899239524755894,"Location(x=-113.046387, y=-60.514294, z=-0.000330)","Location(x=-112.221794, y=-60.555149, z=0.000000)",4.070345640182495,93,1,1,10.037326666636877,201.94324418902397,22.215901547571498
19,-4.920668194162244,"Location(x=-112.906319, y=-59.093697, z=0.001436)","Location(x=-112.057312, y=-59.186176, z=0.000000)",4.447015762329102,101,1,1,10.720950258139906,272.92575266957283,21.322564121363882
20,-5.207143467080961,"Location(x=-109.161591, y=-8.819017, z=0.001283)","Location(x=-110.334229, y=-8.859548, z=0.000000)",14.399571895599365,321,1,2,16.838774596887454,6686.676347821951,22.269103743951565
21,-5.029551273209592,"Location(x=-109.283081, y=-43.082573, z=0.000816)","Location(x=-110.272636, y=-43.074013, z=0.000000)",5.9746997356414795,131,1,1,12.605186916365538,631.7123303115368,22.024886317550667
22,-5.045669483996299,"Location(x=-113.088593, y=-59.478760, z=-0.000105)","Location(x=-112.110382, y=-59.600845, z=0.000000)",4.4639856815338135,99,1,2,10.551544271908707,254.4781142771244,22.028875489630614
23,-5.1752939028678,"Location(x=-112.566132, y=-54.704102, z=0.001034)","Location(x=-111.425858, y=-54.869587, z=0.000000)",5.584914922714233,125,1,2,12.502894452308354,550.1522130817175,22.539238538287584
24,-5.135744895803194,"Location(x=-112.597061, y=-55.183445, z=0.001906)","Location(x=-111.494217, y=-55.340385, z=0.000000)",5.445192337036133,123,1,2,12.230554808199091,521.7648673653603,21.907396258308893
25,-4.9291121397747135,"Location(x=-113.106491, y=-60.567451, z=0.000772)","Location(x=-112.228333, y=-60.615417, z=0.000000)",4.196489572525024,94,1,1,9.846931856556377,208.4382961988449,21.966650233019596
26,-4.904010606770699,"Location(x=-113.030380, y=-60.319275, z=0.000238)","Location(x=-112.199677, y=-60.355076, z=0.000000)",4.12853479385376,94,1,1,10.134797914509278,210.89293763041496,21.87188519695101
27,-4.971592668497596,"Location(x=-109.604767, y=-47.229309, z=0.000996)","Location(x=-110.542000, y=-47.190269, z=0.000000)",4.712960958480835,107,1,1,11.232868922268544,332.261915743351,20.37407475173564
28,-5.0043342840709295,"Location(x=-109.245087, y=-41.973827, z=0.000486)","Location(x=-110.224121, y=-41.956760, z=0.000000)",6.024024963378906,137,1,1,12.902280811652851,725.2474043816328,21.850312449833606
29,-5.034557630559082,"Location(x=-113.011940, y=-58.906818, z=-0.000494)","Location(x=-112.034172, y=-59.012020, z=0.000000)",4.474119663238525,102,1,1,10.853015109430677,279.77022433280945,22.14085287801092
30,-4.955629527191825,"Location(x=-109.240494, y=-36.262878, z=0.001391)","Location(x=-110.134476, y=-36.294216, z=0.000000)",7.387560844421387,167,1,1,14.356625581428018,1298.2647023051977,22.15529162558976
31,-4.8634261969085415,"Location(x=-113.034500, y=-60.779480, z=0.001035)","Location(x=-112.250473, y=-60.823883, z=0.000000)",4.081167221069336,92,1,1,9.813533172534182,195.74928414821625,21.21199046476078
32,-5.117021537976607,"Location(x=-109.133636, y=-25.731306, z=0.001407)","Location(x=-110.209145, y=-25.771244, z=0.000000)",10.222517967224121,227,1,3,15.504571178393528,2861.0397525131702,22.022687368368487
33,-5.059933450974476,"Location(x=-112.781372, y=-57.120022, z=0.001368)","Location(x=-111.779037, y=-57.256451, z=0.000000)",4.905610084533691,112,1,1,11.569296523077483,387.2113176882267,21.669135065462573
34,-4.888141241654981,"Location(x=-113.082222, y=-60.728748, z=0.000742)","Location(x=-112.245567, y=-60.777122, z=0.000000)",4.087085247039795,92,1,1,9.878086321483488,196.83394192159176,21.72017481198101
35,-4.875221083939509,"Location(x=-113.137291, y=-61.548489, z=0.001074)","Location(x=-112.328346, y=-61.617931, z=0.000000)",3.8962583541870117,88,1,1,9.31143014608863,165.5343130081892,20.932015689116575
36,-5.171115406702041,"Location(x=-111.276176, y=-37.749496, z=0.001577)","Location(x=-110.135025, y=-37.755451, z=0.000000)",7.348759889602661,158,1,2,13.99161014090943,1105.1821065992117,22.58077478554641
37,-4.977732199319341,"Location(x=-109.402168, y=-44.224754, z=0.000456)","Location(x=-110.332321, y=-44.203194, z=0.000000)",6.356152772903442,126,1,1,12.084187958046225,561.2653301954269,22.07213163426076
38,-5.01091078032579,"Location(x=-112.669281, y=-56.723248, z=0.000754)","Location(x=-111.718575, y=-56.853130, z=0.000000)",5.580138921737671,114,1,1,11.750250006826846,410.5115640461445,21.16528040672519
39,-5.044183880676572,"Location(x=-109.149483, y=-33.252213, z=0.001286)","Location(x=-110.153519, y=-33.291718, z=0.000000)",9.155942440032959,187,1,1,14.564561540711324,1721.8885961323977,22.180236000493128
40,-4.980669444325632,"Location(x=-113.146912, y=-60.134167, z=-0.000322)","Location(x=-112.179626, y=-60.178726, z=0.000000)",4.628880023956299,96,1,1,10.154299000829734,223.9770316928625,21.932419216704915
41,-5.167059159881117,"Location(x=-109.005272, y=-35.543659, z=0.001241)","Location(x=-110.137581, y=-35.580482, z=0.000000)",8.381722450256348,173,1,2,14.23972724490241,1395.7479216456413,22.03523876598247
