Episode,Memory Usage (%),CPU Usage (%),GPU Memory Usage (MB)
0,75.2,5.2,8.7109375
0,75.2,5.2,8.7109375
1,75.1,2.6,8.7109375
1,75.1,2.6,8.7109375
2,75.1,3.9,8.7109375
2,75.1,3.9,8.7109375
3,75.2,3.8,8.7109375
3,75.2,3.8,8.7109375
4,75.1,2.9,8.7109375
4,75.1,2.9,8.7109375
5,75.2,4.8,8.7109375
5,75.2,4.8,8.7109375
6,75.1,3.8,8.7109375
6,75.1,3.8,8.7109375
7,74.0,3.0,8.7109375
7,74.0,3.0,8.7109375
8,73.9,4.2,8.7109375
8,73.9,4.2,8.7109375
9,74.0,3.9,8.7109375
9,74.0,3.9,8.7109375
10,74.0,4.0,8.7109375
10,74.0,4.0,8.7109375
11,75.7,3.8,38.00244140625
11,75.7,3.8,38.00244140625
12,75.8,5.3,38.00244140625
12,75.8,5.3,38.00244140625
13,76.1,3.6,38.00244140625
13,76.1,3.6,38.00244140625
14,76.0,3.6,38.00244140625
14,76.0,3.6,38.00244140625
15,75.9,4.4,38.00244140625
15,75.9,4.4,38.00244140625
16,76.3,4.4,38.00244140625
16,76.3,4.4,38.00244140625
17,76.4,4.0,38.00244140625
17,76.4,4.0,38.00244140625
18,75.6,5.1,38.00244140625
18,75.6,5.1,38.00244140625
19,75.7,4.5,38.00244140625
19,75.7,4.5,38.00244140625
20,75.7,3.6,38.00244140625
20,75.7,3.6,38.00244140625
21,75.7,4.6,38.00244140625
21,75.7,4.6,38.00244140625
22,75.7,4.5,38.00244140625
22,75.7,4.5,38.00244140625
23,75.8,3.6,38.00244140625
23,75.8,3.6,38.00244140625
24,75.8,4.7,38.00244140625
24,75.8,4.7,38.00244140625
25,75.9,4.8,38.00244140625
25,75.9,4.8,38.00244140625
26,75.9,4.0,38.00244140625
26,75.9,4.0,38.00244140625
27,75.9,4.8,38.00244140625
27,75.9,4.8,38.00244140625
28,76.0,5.1,38.00244140625
28,76.0,5.1,38.00244140625
29,75.9,3.9,38.00244140625
29,75.9,3.9,38.00244140625
