episode,reward,vehicle_location,waypoint,duration,timesteps,collisions,lane_invasions,avg_speed,total_distance,max_speed
0,-4.853680130047271,"Location(x=-113.198326, y=-62.670448, z=0.003393)","Location(x=-112.417976, y=-62.676586, z=0.000000)",2.8508965969085693,82,1,1,8.541208448429925,121.79011450707912,21.253521739574893
1,-5.01171195471432,"Location(x=-112.983200, y=-58.875565, z=-0.000863)","Location(x=-112.029388, y=-58.976456, z=0.000000)",3.450230121612549,102,1,1,10.824413496367155,279.8033420294523,22.561599961364614
2,-4.965536783557396,"Location(x=-111.208443, y=-10.584238, z=0.001497)","Location(x=-110.321259, y=-10.612559, z=0.000000)",10.273388147354126,309,1,1,16.68549819715798,6135.248333662748,21.30137643595939
3,-4.9044254805498095,"Location(x=-109.300934, y=-36.002060, z=0.001347)","Location(x=-110.135414, y=-36.034714, z=0.000000)",5.621739149093628,168,1,1,14.279585981840174,1310.1605049669743,22.496586596152532
4,-5.035560926712167,"Location(x=-109.167778, y=-39.431744, z=0.001544)","Location(x=-110.153397, y=-39.451279, z=0.000000)",5.021769762039185,150,1,1,13.616110942568767,949.7464575767517,21.268524151900152
5,-4.8276770548597785,"Location(x=-113.181656, y=-62.749504, z=0.003557)","Location(x=-112.424202, y=-62.754219, z=0.000000)",2.742622137069702,81,1,1,8.552667352246608,120.49387775361538,20.98691524503359
6,-4.901275801572958,"Location(x=-113.056816, y=-60.256653, z=0.000700)","Location(x=-112.192795, y=-60.294079, z=0.000000)",3.2074990272521973,95,1,1,10.109802977891647,217.07904605567455,20.79693569095841
7,-4.995224275241259,"Location(x=-109.507042, y=-45.930557, z=0.001100)","Location(x=-110.441048, y=-45.884014, z=0.000000)",3.8318698406219482,114,1,1,11.794233807683858,410.1119858622551,20.581772746562258
8,-4.920629835085693,"Location(x=-113.090729, y=-60.442074, z=0.000669)","Location(x=-112.214241, y=-60.486206, z=0.000000)",3.174913167953491,94,1,1,10.002820187289979,210.8644049614668,21.499950247783815
9,-5.032150902818504,"Location(x=-109.335480, y=-44.358269, z=0.001415)","Location(x=-110.339722, y=-44.330299, z=0.000000)",4.133708477020264,123,1,1,12.319809980655968,522.8115099966526,20.50538469973655
