episode,reward,vehicle_location,waypoint,duration,timesteps,collisions,lane_invasions,avg_speed,total_distance,max_speed
0,-23.245513025617303,"Location(x=-113.140953, y=-60.716682, z=0.001053)","Location(x=-112.244911, y=-60.770863, z=0.000000)",21.501434564590454,651,1,1,1.4028702243181848,8.422305115382187,9.148222732543946
1,-23.56469767159835,"Location(x=-113.105507, y=-60.366669, z=0.001183)","Location(x=-112.205917, y=-60.410995, z=0.000000)",24.388338088989258,738,1,1,1.2772420169918777,8.752273184247315,8.816135215759278
2,-23.20022523579783,"Location(x=-109.145737, y=-39.708569, z=0.001188)","Location(x=-110.158524, y=-39.723335, z=0.000000)",55.342175245285034,1676,1,1,1.1975572987233087,18.616481429344276,8.77992582321167
3,-23.881832780949548,"Location(x=-109.207504, y=-41.783382, z=0.001311)","Location(x=-110.216972, y=-41.768234, z=0.000000)",49.504475355148315,1499,1,1,1.190037470773425,16.545768680167384,8.808922863006591
4,-23.596755841510504,"Location(x=-109.127037, y=-40.311165, z=0.001318)","Location(x=-110.171860, y=-40.316322, z=0.000000)",53.117457151412964,1609,1,1,1.2064018329494184,18.01575926458463,8.805165195465088
5,-22.99941888054169,"Location(x=-113.108246, y=-60.742485, z=0.001238)","Location(x=-112.247330, y=-60.793781, z=0.000000)",24.35837984085083,737,1,1,1.223541040985504,8.380930877989158,8.756658840179444
6,-21.840252006973305,"Location(x=-113.113152, y=-60.515053, z=0.000581)","Location(x=-112.222626, y=-60.562767, z=0.000000)",23.846365213394165,722,1,1,1.282651996812975,8.606266244314611,8.75422124862671
7,-24.162636086316045,"Location(x=-109.166344, y=-39.780411, z=0.001295)","Location(x=-110.159973, y=-39.794670, z=0.000000)",52.62104845046997,1594,1,1,1.256856199271141,18.532581663690507,8.746300792694091
8,-23.5611617944709,"Location(x=-113.044479, y=-59.880119, z=0.001244)","Location(x=-112.158905, y=-60.000847, z=0.000000)",26.366803407669067,798,1,1,1.244891638025568,9.231727614125703,8.806135940551759
9,-23.69368244433521,"Location(x=-109.085541, y=-37.782803, z=0.001142)","Location(x=-110.135239, y=-37.801212, z=0.000000)",58.6429762840271,1776,1,1,1.249014464133085,20.530495408376737,8.786202621459962
10,-24.155800383546712,"Location(x=-109.133698, y=-39.685482, z=0.001299)","Location(x=-110.158066, y=-39.700260, z=0.000000)",53.48549699783325,1620,1,1,1.2380625404517536,18.62576893507503,9.05969696044922
11,-23.836045969883575,"Location(x=-113.073135, y=-60.137436, z=0.001234)","Location(x=-112.179138, y=-60.174492, z=0.000000)",21.99981999397278,642,1,1,1.5116263348374435,8.980231272056699,8.77370309829712
12,-24.056185299368707,"Location(x=-113.156670, y=-60.936314, z=0.001310)","Location(x=-112.268250, y=-60.996120, z=0.000000)",26.05807375907898,786,1,1,1.1339668563966399,8.211893380677793,9.319005203247071
13,-23.767340574838727,"Location(x=-113.081863, y=-60.224949, z=0.001220)","Location(x=-112.189423, y=-60.264393, z=0.000000)",27.51761770248413,833,1,1,1.1559783964259984,8.921332921570865,9.335121631622314
14,-24.189818728317473,"Location(x=-109.078789, y=-36.451260, z=0.001254)","Location(x=-110.133957, y=-36.482216, z=0.000000)",58.92946767807007,1785,1,1,1.3232199462079317,21.866956437472254,9.359468364715577
15,-24.046955575228374,"Location(x=-109.138329, y=-40.033962, z=0.001320)","Location(x=-110.165367, y=-40.043625, z=0.000000)",56.755908489227295,1719,1,1,1.1491325770506546,18.315724787535146,9.311371421813964
16,-23.737944738824467,"Location(x=-109.108475, y=-38.350182, z=0.001259)","Location(x=-110.139015, y=-38.361473, z=0.000000)",54.83312916755676,1658,1,1,1.2960649348761586,19.979682294651866,9.34327383041382
17,-23.584998248496525,"Location(x=-109.076492, y=-36.018990, z=0.000982)","Location(x=-110.135338, y=-36.052864, z=0.000000)",63.816213607788086,1933,1,1,1.2464225116046912,22.300624946365133,9.337239074707032
18,-24.090107435031502,"Location(x=-113.128181, y=-60.781296, z=0.001290)","Location(x=-112.251671, y=-60.835339, z=0.000000)",22.598700761795044,684,1,1,1.3195043747559159,8.362451078137383,9.272987937927246
19,-23.091038605092,"Location(x=-113.088814, y=-60.254242, z=0.001162)","Location(x=-112.192894, y=-60.294903, z=0.000000)",23.78874707221985,720,1,1,1.3269398077514107,8.884356765134726,9.335494995117188
20,-23.736578533249197,"Location(x=-109.017517, y=-35.472202, z=0.001375)","Location(x=-110.137970, y=-35.509274, z=0.000000)",66.42574167251587,2012,1,2,1.2233618476322214,22.85317696479615,9.174478340148926
21,-23.929684940544757,"Location(x=-109.032257, y=-36.730469, z=0.001287)","Location(x=-110.133484, y=-36.759525, z=0.000000)",64.31590795516968,1945,1,2,1.1983450022676536,21.606506681535393,9.3513822555542
22,-23.299103305712862,"Location(x=-113.092857, y=-60.437016, z=0.001047)","Location(x=-112.213699, y=-60.481274, z=0.000000)",27.61248540878296,836,1,1,1.121396319036053,8.70103241421748,9.2617733001709
23,-23.88863729090553,"Location(x=-113.203476, y=-61.913887, z=0.001293)","Location(x=-112.361908, y=-61.996777, z=0.000000)",22.367778778076172,677,1,1,1.1490378139325255,7.244721403345466,9.324082946777343
24,-23.775059922130545,"Location(x=-113.134018, y=-60.793728, z=0.001100)","Location(x=-112.253059, y=-60.848598, z=0.000000)",25.70129132270813,778,1,1,1.1646864337019252,8.3545882164035,9.340388202667237
25,-23.61284595534798,"Location(x=-113.179031, y=-61.364223, z=0.001213)","Location(x=-112.311264, y=-61.434391, z=0.000000)",24.05053973197937,728,1,1,1.1559415510119253,7.782511944766156,9.193076133728027
26,-23.30712620827066,"Location(x=-113.029335, y=-59.706947, z=0.001078)","Location(x=-112.137703, y=-59.823467, z=0.000000)",28.075083017349243,850,1,1,1.1977347949812296,9.430233305087313,9.32135181427002
27,-23.57389572249005,"Location(x=-109.228554, y=-43.020824, z=0.001166)","Location(x=-110.269577, y=-43.010059, z=0.000000)",46.257219314575195,1397,1,1,1.1849536142295582,15.344577198731713,9.056845664978027
