episode,reward,vehicle_location,waypoint,duration,timesteps,collisions,lane_invasions,avg_speed,total_distance,max_speed,throttle_diff
0,-5.3379968818317725,"Location(x=-113.103119, y=-60.572361, z=0.000574)","Location(x=-112.228828, y=-60.620071, z=0.000000)",3.1122992038726807,94,0,0,9.842460864908814,8.543341107666492,21.202650565378697,0.4166666666666667
1,-4.814118433755816,"Location(x=-113.118790, y=-60.651638, z=0.000653)","Location(x=-112.237656, y=-60.702370, z=0.000000)",3.1456172466278076,93,0,0,9.868421123674075,8.448629389051348,20.5110603344178,-0.1166666666666667
2,-5.15959936744819,"Location(x=-109.139587, y=-40.520649, z=0.001409)","Location(x=-110.177208, y=-40.522980, z=0.000000)",4.848515510559082,146,0,0,13.176185559316266,17.77332888916135,22.233949610219756,0.08333333333333337
3,-5.1679774519342025,"Location(x=-109.353378, y=-42.165688, z=0.001680)","Location(x=-110.231705, y=-42.148636, z=0.000000)",4.480203628540039,135,0,0,13.003306839304102,16.13639274146408,22.40561888392239,0.21666666666666667
4,-5.898035348981044,"Location(x=-111.293396, y=-30.497585, z=0.001842)","Location(x=-110.173988, y=-30.524509, z=0.000000)",6.599467992782593,199,0,0,15.00622411748244,27.635430314578116,20.81277686941605,0.75
5,-5.447594214272967,"Location(x=-113.147614, y=-61.329670, z=0.001902)","Location(x=-112.307610, y=-61.395950, z=0.000000)",3.0703632831573486,90,0,0,9.317572635113153,7.740033895242959,20.7879531594836,0.55
6,-5.344825213094095,"Location(x=-113.204819, y=-62.218819, z=0.002828)","Location(x=-112.381027, y=-62.223270, z=0.000000)",2.8263304233551025,85,0,0,8.85170565308986,6.9121940531767905,21.6300573968418,0.48333333333333334
7,-5.768741263248843,"Location(x=-109.240623, y=-15.918623, z=0.001357)","Location(x=-110.281723, y=-15.958364, z=0.000000)",9.357831001281738,283,0,0,16.189428487600928,42.35101131768897,22.299162708266476,0.6833333333333333
8,-4.6522086884387015,"Location(x=-113.152107, y=-61.303204, z=0.001782)","Location(x=-112.305084, y=-61.369438, z=0.000000)",3.004774332046509,90,0,0,9.393158998686548,7.780779163353145,20.915122632761925,-0.25
9,-4.803948923908918,"Location(x=-109.436150, y=-44.788128, z=0.000622)","Location(x=-110.365616, y=-44.758446, z=0.000000)",4.017660617828369,121,0,0,12.166668123617441,13.543784378096461,22.67049559182903,-0.18333333333333335
10,-5.45806636815809,"Location(x=-111.394447, y=-29.742205, z=0.001298)","Location(x=-110.179581, y=-29.768564, z=0.000000)",6.833858966827393,206,0,0,14.920256989721368,28.396366201341152,22.33062728898843,0.21666666666666667
11,-4.894282796954763,"Location(x=-113.153885, y=-61.782219, z=0.002367)","Location(x=-112.349861, y=-61.857895, z=0.000000)",3.193312168121338,87,0,0,9.137288138389732,7.307162995450199,21.2945575345529,0.01666666666666672
12,-4.855576130574444,"Location(x=-113.031509, y=-58.964123, z=0.001011)","Location(x=-112.042274, y=-59.072632, z=0.000000)",3.3891897201538086,102,0,0,10.816141715369055,10.150123806670308,21.81719236495898,-0.18333333333333335
13,-5.1128865687335,"Location(x=-113.106949, y=-59.947342, z=0.000566)","Location(x=-112.163170, y=-60.037186, z=0.000000)",3.2629234790802,98,0,0,10.156304977893079,9.164103345945477,21.755954669011928,0.15000000000000002
14,-4.745084496878844,"Location(x=-109.573151, y=-45.961937, z=0.003470)","Location(x=-110.443550, y=-45.918777, z=0.000000)",3.819561004638672,115,0,0,11.657886980803681,12.367663515731692,22.06825238554722,-0.18333333333333335
15,-5.397948111845176,"Location(x=-109.306931, y=-42.081108, z=0.001652)","Location(x=-110.228325, y=-42.064087, z=0.000000)",4.5457353591918945,137,0,0,12.885713225280888,16.230908293742687,22.673168830295335,0.4166666666666667
16,-5.516441222228576,"Location(x=-109.566833, y=-46.210781, z=0.002726)","Location(x=-110.461357, y=-46.162540, z=0.000000)",3.7595083713531494,113,0,0,11.636228502945597,12.130626656580716,22.165257561240587,0.55
17,-4.749190323225803,"Location(x=-109.901596, y=-49.726429, z=0.000418)","Location(x=-110.772049, y=-49.657188, z=0.000000)",3.1614139080047607,95,0,0,9.870605305056678,8.62491849809885,21.44670498690002,-0.18333333333333335
18,-5.13129772927023,"Location(x=-113.128670, y=-61.791477, z=0.001295)","Location(x=-112.350464, y=-61.864735, z=0.000000)",2.9288461208343506,88,0,0,9.06109962705303,7.334105314686894,21.3841908558411,0.2833333333333333
19,-5.634597207346226,"Location(x=-112.448486, y=-53.622463, z=0.001710)","Location(x=-111.275085, y=-53.802883, z=0.000000)",4.381593465805054,132,0,0,12.688164955507423,15.468018731102347,21.60175573574433,0.4166666666666667
20,-5.8674376111907325,"Location(x=-111.240067, y=-30.993032, z=0.001311)","Location(x=-110.170319, y=-31.020250, z=0.000000)",6.534856796264648,197,0,0,15.037497683330555,27.187850860878825,22.327740880843066,0.75
21,-4.852866512882196,"Location(x=-111.063515, y=-20.608816, z=0.000874)","Location(x=-110.247116, y=-20.637547, z=0.000000)",8.440406799316406,255,0,0,15.972051039658632,37.69761814363301,21.19777416315338,-0.050000000000000044
22,-5.019405738853118,"Location(x=-112.598320, y=-55.826492, z=0.001630)","Location(x=-111.586540, y=-55.967529, z=0.000000)",3.9515929222106934,119,0,0,12.048114714954984,13.2611203645356,22.276447898628767,-0.050000000000000044
23,-4.722477189723623,"Location(x=-113.255943, y=-62.522800, z=0.002800)","Location(x=-112.406403, y=-62.533123, z=0.000000)",2.764744520187378,83,0,0,8.69356408776951,6.615341250784695,20.875032707049037,-0.18333333333333335
24,-4.809629103402772,"Location(x=-109.233315, y=-39.858852, z=0.001372)","Location(x=-110.161629, y=-39.873791, z=0.000000)",6.991313219070435,211,0,0,15.298541667251415,29.56047281762585,22.52023844227792,-0.18333333333333335
25,-5.4803835629484094,"Location(x=-113.111855, y=-61.309631, z=0.000574)","Location(x=-112.305321, y=-61.371857, z=0.000000)",3.026782751083374,91,0,0,9.322339635342946,7.807242074050009,21.663458922107637,0.6166666666666667
26,-5.129041827547197,"Location(x=-113.193497, y=-61.730858, z=0.001647)","Location(x=-112.345612, y=-61.809647, z=0.000000)",2.9297752380371094,88,0,0,9.141381016681168,7.3946816911920905,21.33271069908228,0.21666666666666667
27,-4.615155673874724,"Location(x=-110.273895, y=-52.228176, z=0.002867)","Location(x=-111.058960, y=-52.164753, z=0.000000)",2.668724536895752,80,0,0,8.326480745883847,6.110328363254666,21.515855439042294,-0.25
